Experiment,BETA,SIGMA,GAMMA,Filename
70,0.2,0.5,0.2,seir_beta0p2_sigma0p5_gamma0p2.csv
71,0.2,0.55,0.1,seir_beta0p2_sigma0p55_gamma0p1.csv
72,0.2,0.55,0.125,seir_beta0p2_sigma0p55_gamma0p125.csv
73,0.2,0.55,0.15,seir_beta0p2_sigma0p55_gamma0p15.csv
74,0.2,0.55,0.175,seir_beta0p2_sigma0p55_gamma0p175.csv
75,0.2,0.55,0.2,seir_beta0p2_sigma0p55_gamma0p2.csv
76,0.21,0.35,0.1,seir_beta0p21_sigma0p35_gamma0p1.csv
77,0.21,0.35,0.125,seir_beta0p21_sigma0p35_gamma0p125.csv
78,0.21,0.35,0.15,seir_beta0p21_sigma0p35_gamma0p15.csv
79,0.21,0.35,0.175,seir_beta0p21_sigma0p35_gamma0p175.csv
80,0.21,0.35,0.2,seir_beta0p21_sigma0p35_gamma0p2.csv
81,0.21,0.4,0.1,seir_beta0p21_sigma0p4_gamma0p1.csv
82,0.21,0.4,0.125,seir_beta0p21_sigma0p4_gamma0p125.csv
83,0.21,0.4,0.15,seir_beta0p21_sigma0p4_gamma0p15.csv
84,0.21,0.4,0.175,seir_beta0p21_sigma0p4_gamma0p175.csv
85,0.21,0.4,0.2,seir_beta0p21_sigma0p4_gamma0p2.csv
86,0.21,0.45,0.1,seir_beta0p21_sigma0p45_gamma0p1.csv
87,0.21,0.45,0.125,seir_beta0p21_sigma0p45_gamma0p125.csv
88,0.21,0.45,0.15,seir_beta0p21_sigma0p45_gamma0p15.csv
89,0.21,0.45,0.175,seir_beta0p21_sigma0p45_gamma0p175.csv
90,0.21,0.45,0.2,seir_beta0p21_sigma0p45_gamma0p2.csv
91,0.21,0.5,0.1,seir_beta0p21_sigma0p5_gamma0p1.csv
92,0.21,0.5,0.125,seir_beta0p21_sigma0p5_gamma0p125.csv
93,0.21,0.5,0.15,seir_beta0p21_sigma0p5_gamma0p15.csv
94,0.21,0.5,0.175,seir_beta0p21_sigma0p5_gamma0p175.csv
95,0.21,0.5,0.2,seir_beta0p21_sigma0p5_gamma0p2.csv
96,0.21,0.55,0.1,seir_beta0p21_sigma0p55_gamma0p1.csv
97,0.21,0.55,0.125,seir_beta0p21_sigma0p55_gamma0p125.csv
98,0.21,0.55,0.15,seir_beta0p21_sigma0p55_gamma0p15.csv
99,0.21,0.55,0.175,seir_beta0p21_sigma0p55_gamma0p175.csv
100,0.21,0.55,0.2,seir_beta0p21_sigma0p55_gamma0p2.csv
101,0.22,0.35,0.1,seir_beta0p22_sigma0p35_gamma0p1.csv
102,0.22,0.35,0.125,seir_beta0p22_sigma0p35_gamma0p125.csv
103,0.22,0.35,0.15,seir_beta0p22_sigma0p35_gamma0p15.csv
104,0.22,0.35,0.175,seir_beta0p22_sigma0p35_gamma0p175.csv
105,0.22,0.35,0.2,seir_beta0p22_sigma0p35_gamma0p2.csv
106,0.22,0.4,0.1,seir_beta0p22_sigma0p4_gamma0p1.csv
107,0.22,0.4,0.125,seir_beta0p22_sigma0p4_gamma0p125.csv
108,0.22,0.4,0.15,seir_beta0p22_sigma0p4_gamma0p15.csv
109,0.22,0.4,0.175,seir_beta0p22_sigma0p4_gamma0p175.csv
110,0.22,0.4,0.2,seir_beta0p22_sigma0p4_gamma0p2.csv
111,0.22,0.45,0.1,seir_beta0p22_sigma0p45_gamma0p1.csv
112,0.22,0.45,0.125,seir_beta0p22_sigma0p45_gamma0p125.csv
113,0.22,0.45,0.15,seir_beta0p22_sigma0p45_gamma0p15.csv
114,0.22,0.45,0.175,seir_beta0p22_sigma0p45_gamma0p175.csv
115,0.22,0.45,0.2,seir_beta0p22_sigma0p45_gamma0p2.csv
116,0.22,0.5,0.1,seir_beta0p22_sigma0p5_gamma0p1.csv
117,0.22,0.5,0.125,seir_beta0p22_sigma0p5_gamma0p125.csv
118,0.22,0.5,0.15,seir_beta0p22_sigma0p5_gamma0p15.csv
119,0.22,0.5,0.175,seir_beta0p22_sigma0p5_gamma0p175.csv
120,0.22,0.5,0.2,seir_beta0p22_sigma0p5_gamma0p2.csv
121,0.22,0.55,0.1,seir_beta0p22_sigma0p55_gamma0p1.csv
122,0.22,0.55,0.125,seir_beta0p22_sigma0p55_gamma0p125.csv
123,0.22,0.55,0.15,seir_beta0p22_sigma0p55_gamma0p15.csv
124,0.22,0.55,0.175,seir_beta0p22_sigma0p55_gamma0p175.csv
125,0.22,0.55,0.2,seir_beta0p22_sigma0p55_gamma0p2.csv
