Step,Susceptible,Exposed,Infected,Removed
0,88217,3,5,0
1,88209,9,7,0
2,88195,19,11,0
3,88188,17,20,0
4,88170,26,28,1
5,88147,30,43,5
6,88102,61,54,8
7,88033,98,77,17
8,87944,134,124,23
9,87811,202,172,40
10,87629,257,280,59
11,87323,411,407,84
12,86893,633,565,134
13,86293,899,826,207
14,85419,1271,1219,316
15,84094,1919,1726,486
16,82307,2642,2587,689
17,79709,3792,3707,1017
18,76161,5225,5325,1514
19,71213,7366,7431,2215
20,64946,9540,10648,3091
21,56743,12532,14600,4350
22,47330,15031,19693,6171
23,37123,16972,25467,8663
24,27049,17754,31592,11830
25,18275,16817,37421,15712
26,11462,14410,42042,20311
27,6683,11275,44770,25497
28,3772,7924,45539,30990
29,2216,5103,44297,36609
30,1287,3204,41660,42074
31,788,2009,38253,47175
32,496,1178,34643,51908
33,322,683,31033,56187
34,205,426,27592,60002
35,149,250,24378,63448
36,109,154,21437,66525
37,83,96,18815,69231
38,71,59,16556,71539
39,60,30,14515,73620
40,46,24,12688,75467
41,39,17,11190,76979
42,35,12,9771,78407
43,30,11,8537,79647
44,25,10,7487,80703
45,22,5,6531,81667
46,21,3,5740,82461
47,20,3,5013,83189
48,20,1,4399,83805
49,19,2,3826,84378
50,18,3,3337,84867
51,18,2,2901,85304
52,18,1,2546,85660
53,18,1,2191,86015
54,18,0,1911,86296
55,18,0,1688,86519
56,18,0,1476,86731
57,18,0,1290,86917
58,18,0,1120,87087
59,18,0,1012,87195
60,18,0,889,87318
61,18,0,770,87437
62,17,1,678,87529
63,17,0,587,87621
64,17,0,503,87705
65,16,1,433,87775
66,16,0,378,87831
67,16,0,329,87880
68,16,0,290,87919
69,14,2,252,87957
70,14,1,223,87987
71,14,0,186,88025
72,14,0,157,88054
73,14,0,142,88069
74,14,0,126,88085
75,14,0,111,88100
76,14,0,99,88112
77,14,0,94,88117
78,14,0,83,88128
79,14,0,78,88133
80,14,0,60,88151
81,14,0,49,88162
82,14,0,46,88165
83,14,0,41,88170
84,14,0,38,88173
85,14,0,34,88177
86,14,0,31,88180
87,14,0,27,88184
88,14,0,21,88190
89,14,0,19,88192
90,14,0,16,88195
91,14,0,13,88198
92,14,0,13,88198
93,14,0,13,88198
94,14,0,13,88198
95,14,0,11,88200
96,14,0,9,88202
97,14,0,9,88202
98,14,0,8,88203
99,14,0,7,88204
100,14,0,7,88204
101,14,0,7,88204
102,14,0,7,88204
103,14,0,6,88205
104,14,0,6,88205
105,14,0,6,88205
106,14,0,5,88206
107,14,0,4,88207
108,14,0,4,88207
109,14,0,4,88207
110,14,0,4,88207
111,14,0,4,88207
112,14,0,4,88207
113,14,0,4,88207
114,14,0,4,88207
115,14,0,4,88207
116,14,0,4,88207
117,14,0,4,88207
118,14,0,3,88208
119,14,0,3,88208
