Step,Susceptible,Exposed,Infected,Removed
0,88218,2,5,0
1,88213,7,4,1
2,88208,8,7,2
3,88199,12,12,2
4,88192,12,19,2
5,88172,27,21,5
6,88157,29,31,8
7,88131,43,40,11
8,88095,58,58,14
9,88038,90,73,24
10,87975,117,105,28
11,87888,146,154,37
12,87753,220,198,54
13,87596,289,262,78
14,87352,398,359,116
15,87033,531,500,161
16,86582,739,678,226
17,85964,1033,911,317
18,85143,1383,1248,451
19,84080,1838,1683,624
20,82665,2421,2296,843
21,80733,3230,3128,1134
22,78220,4282,4202,1521
23,74984,5557,5651,2033
24,70867,7229,7413,2716
25,65643,9243,9691,3648
26,59554,11217,12618,4836
27,52279,13574,15954,6418
28,44394,15246,20156,8429
29,36260,16571,24517,10877
30,28281,17012,29037,13895
31,21012,16578,33102,17533
32,15036,15063,36428,21698
33,10333,13123,38540,26229
34,6952,10599,39693,30981
35,4680,8204,39474,35867
36,3189,5933,38319,40784
37,2197,4198,36287,45543
38,1534,2973,33624,50094
39,1102,2050,30757,54316
40,794,1428,27841,58162
41,594,992,25050,61589
42,469,670,22339,64747
43,371,454,19874,67526
44,310,312,17568,70035
45,267,209,15582,72167
46,232,154,13674,74165
47,200,119,12076,75830
48,183,80,10591,77371
49,158,71,9318,78678
50,144,53,8193,79835
51,134,41,7165,80885
52,129,29,6245,81822
53,121,25,5483,82596
54,111,26,4791,83297
55,110,18,4195,83902
56,105,13,3686,84421
57,104,11,3276,84834
58,99,9,2876,85241
59,98,8,2525,85594
60,96,7,2201,85921
61,93,9,1887,86236
62,92,4,1664,86465
63,91,4,1457,86673
64,90,2,1301,86832
65,88,4,1143,86990
66,88,4,1010,87123
67,87,3,906,87229
68,86,3,804,87332
69,86,2,704,87433
70,86,2,616,87521
71,86,1,537,87601
72,86,1,458,87680
73,86,1,402,87736
74,86,1,356,87782
75,86,1,308,87830
76,86,0,272,87867
77,85,1,239,87900
78,84,1,204,87936
79,82,3,184,87956
80,82,0,168,87975
81,82,0,147,87996
82,80,2,127,88016
83,80,1,110,88034
84,80,1,101,88043
85,80,1,93,88051
86,80,0,84,88061
87,80,0,71,88074
88,80,0,61,88084
89,80,0,54,88091
90,80,0,46,88099
91,80,0,38,88107
92,80,0,33,88112
93,80,0,31,88114
94,80,0,24,88121
95,80,0,20,88125
96,80,0,18,88127
97,80,0,15,88130
98,80,0,9,88136
99,80,0,8,88137
100,80,0,5,88140
101,80,0,5,88140
102,80,0,5,88140
103,80,0,5,88140
104,80,0,5,88140
105,80,0,5,88140
106,80,0,5,88140
107,80,0,4,88141
108,80,0,4,88141
109,80,0,3,88142
110,80,0,2,88143
111,80,0,2,88143
112,80,0,2,88143
113,80,0,0,88145
114,80,0,0,88145
115,80,0,0,88145
116,80,0,0,88145
117,80,0,0,88145
118,80,0,0,88145
119,80,0,0,88145
