Step,Susceptible,Exposed,Infected,Removed
0,88214,6,4,1
1,88208,8,8,1
2,88201,13,9,2
3,88187,22,13,3
4,88176,24,19,6
5,88160,32,23,10
6,88145,31,38,11
7,88096,62,52,15
8,88050,78,69,28
9,87978,116,90,41
10,87898,146,121,60
11,87787,191,166,81
12,87614,273,222,116
13,87409,366,286,164
14,87122,497,397,209
15,86741,643,569,272
16,86213,876,766,370
17,85523,1185,1014,503
18,84583,1579,1375,688
19,83331,2114,1846,934
20,81659,2823,2476,1267
21,79529,3646,3345,1705
22,76710,4801,4420,2294
23,73191,6161,5770,3103
24,68779,7753,7527,4166
25,63289,9803,9639,5494
26,57242,11496,12322,7165
27,50132,13377,15390,9326
28,42476,15051,18652,12046
29,34824,15966,22121,15314
30,27403,16217,25520,19085
31,20948,15342,28402,23533
32,15557,13786,30325,28557
33,11330,11787,31220,33888
34,8026,9701,31210,39288
35,5762,7681,30043,44739
36,4159,5825,28269,49972
37,3049,4277,26006,54893
38,2305,3072,23372,59476
39,1775,2199,20693,63558
40,1396,1589,18049,67191
41,1155,1133,15639,70298
42,976,839,13324,73086
43,867,571,11359,75428
44,760,437,9597,77431
45,670,342,8096,79117
46,615,247,6853,80510
47,576,164,5793,81692
48,548,126,4875,82676
49,519,94,4112,83500
50,498,70,3429,84228
51,479,57,2837,84852
52,462,45,2402,85316
53,447,41,1987,85750
54,430,45,1629,86121
55,424,31,1354,86416
56,417,22,1117,86669
57,411,21,919,86874
58,402,23,745,87055
59,396,17,626,87186
60,395,10,512,87308
61,393,6,417,87409
62,392,6,338,87489
63,390,5,274,87556
64,389,4,213,87619
65,388,3,177,87657
66,388,0,154,87683
67,388,0,130,87707
68,388,0,115,87722
69,388,0,92,87745
70,388,0,76,87761
71,388,0,60,87777
72,388,0,49,87788
73,387,1,43,87794
74,387,0,37,87801
75,387,0,34,87804
76,387,0,28,87810
77,387,0,22,87816
78,387,0,14,87824
79,387,0,14,87824
80,386,1,13,87825
81,386,0,13,87826
82,386,0,12,87827
83,386,0,11,87828
84,386,0,9,87830
85,386,0,7,87832
86,386,0,5,87834
87,386,0,3,87836
88,386,0,2,87837
89,386,0,2,87837
90,386,0,2,87837
91,386,0,2,87837
92,386,0,0,87839
93,386,0,0,87839
94,386,0,0,87839
95,386,0,0,87839
96,386,0,0,87839
97,386,0,0,87839
98,386,0,0,87839
99,386,0,0,87839
100,386,0,0,87839
101,386,0,0,87839
102,386,0,0,87839
103,386,0,0,87839
104,386,0,0,87839
105,386,0,0,87839
106,386,0,0,87839
107,386,0,0,87839
108,386,0,0,87839
109,386,0,0,87839
110,386,0,0,87839
111,386,0,0,87839
112,386,0,0,87839
113,386,0,0,87839
114,386,0,0,87839
115,386,0,0,87839
116,386,0,0,87839
117,386,0,0,87839
118,386,0,0,87839
119,386,0,0,87839
