Step,Susceptible,Exposed,Infected,Removed
0,88216,4,2,3
1,88216,2,4,3
2,88211,6,4,4
3,88206,6,8,5
4,88199,10,10,6
5,88188,19,10,8
6,88176,23,17,9
7,88157,29,27,12
8,88134,42,33,16
9,88106,49,41,29
10,88066,68,58,33
11,88009,92,82,42
12,87926,117,128,54
13,87798,182,160,85
14,87637,244,232,112
15,87393,376,306,150
16,87108,471,441,205
17,86663,684,604,274
18,86046,978,840,361
19,85250,1317,1166,492
20,84110,1795,1614,706
21,82596,2384,2262,983
22,80474,3337,3025,1389
23,77750,4353,4225,1897
24,74159,5796,5614,2656
25,69634,7438,7498,3655
26,63954,9482,9831,4958
27,57150,11494,12961,6620
28,49258,13560,16486,8921
29,40883,15143,20365,11834
30,32405,15931,24358,15531
31,24663,15753,27896,19913
32,17984,14474,31016,24751
33,12652,12546,32862,30165
34,8665,10228,33303,36029
35,5957,7829,32543,41896
36,4091,5859,30585,47690
37,2894,4106,28182,53043
38,2086,2814,25385,57940
39,1550,1938,22268,62469
40,1190,1361,19266,66408
41,962,895,16583,69785
42,766,653,14044,72762
43,656,440,11872,75257
44,559,320,10091,77255
45,490,245,8515,78975
46,449,160,7119,80497
47,410,121,5951,81743
48,383,86,5001,82755
49,363,58,4184,83620
50,349,41,3498,84337
51,340,28,2919,84938
52,328,27,2411,85459
53,324,18,1974,85909
54,316,20,1626,86263
55,312,14,1335,86564
56,309,12,1117,86787
57,304,12,918,86991
58,303,4,751,87167
59,298,7,620,87300
60,297,6,511,87411
61,295,7,420,87503
62,294,5,362,87564
63,294,2,306,87623
64,294,1,256,87674
65,294,1,206,87724
66,292,2,168,87763
67,292,0,139,87794
68,292,0,118,87815
69,291,1,91,87842
70,290,1,81,87853
71,290,1,67,87867
72,290,1,59,87875
73,290,1,48,87886
74,290,1,42,87892
75,290,1,35,87899
76,290,1,24,87910
77,290,0,22,87913
78,289,1,19,87916
79,289,1,17,87918
80,289,0,15,87921
81,289,0,13,87923
82,289,0,12,87924
83,289,0,10,87926
84,289,0,7,87929
85,289,0,7,87929
86,288,1,7,87929
87,288,1,5,87931
88,288,0,4,87933
89,288,0,3,87934
90,288,0,3,87934
91,288,0,3,87934
92,288,0,2,87935
93,288,0,1,87936
94,288,0,0,87937
95,288,0,0,87937
96,288,0,0,87937
97,288,0,0,87937
98,288,0,0,87937
99,288,0,0,87937
100,288,0,0,87937
101,288,0,0,87937
102,288,0,0,87937
103,288,0,0,87937
104,288,0,0,87937
105,288,0,0,87937
106,288,0,0,87937
107,288,0,0,87937
108,288,0,0,87937
109,288,0,0,87937
110,288,0,0,87937
111,288,0,0,87937
112,288,0,0,87937
113,288,0,0,87937
114,288,0,0,87937
115,288,0,0,87937
116,288,0,0,87937
117,288,0,0,87937
118,288,0,0,87937
119,288,0,0,87937
