Step,Susceptible,Exposed,Infected,Removed
0,88212,8,4,1
1,88208,8,8,1
2,88202,8,14,1
3,88187,19,15,4
4,88175,22,21,7
5,88158,28,25,14
6,88131,43,35,16
7,88097,56,48,24
8,88054,67,72,32
9,87980,108,91,46
10,87898,141,124,62
11,87768,199,177,81
12,87589,281,249,106
13,87348,404,320,153
14,87063,490,456,216
15,86622,680,624,299
16,86015,964,818,428
17,85253,1278,1125,569
18,84244,1646,1572,763
19,82765,2328,2108,1024
20,80945,2954,2963,1363
21,78459,3961,3954,1851
22,75242,5255,5179,2549
23,71163,6730,6851,3481
24,66227,8289,9040,4669
25,60101,10221,11675,6228
26,53113,12095,14783,8234
27,45277,13868,18272,10808
28,37087,15200,21947,13991
29,29227,15524,25646,17828
30,22100,14849,28926,22350
31,16157,13392,31298,27378
32,11456,11403,32599,32767
33,8106,9035,32630,38454
34,5802,6862,31364,44197
35,4157,5184,29197,49687
36,3010,3777,26630,54808
37,2276,2578,23852,59519
38,1773,1775,20948,63729
39,1434,1228,18203,67360
40,1164,877,15596,70588
41,993,628,13254,73350
42,864,418,11263,75680
43,766,295,9464,77700
44,678,222,7953,79372
45,610,170,6637,80808
46,568,131,5560,81966
47,532,102,4608,82983
48,499,83,3883,83760
49,485,46,3279,84415
50,460,45,2747,84973
51,452,28,2289,85456
52,438,33,1886,85868
53,434,21,1562,86208
54,431,12,1321,86461
55,428,10,1100,86687
56,424,7,925,86869
57,422,3,758,87042
58,421,3,621,87180
59,418,3,499,87305
60,415,5,414,87391
61,415,4,328,87478
62,413,4,267,87541
63,413,2,223,87587
64,412,2,182,87629
65,412,1,143,87669
66,412,1,112,87700
67,412,1,98,87714
68,411,1,82,87731
69,411,0,69,87745
70,411,0,55,87759
71,411,0,45,87769
72,411,0,35,87779
73,411,0,29,87785
74,410,1,23,87791
75,410,0,21,87794
76,409,1,14,87801
77,409,1,11,87804
78,409,1,7,87808
79,409,1,6,87809
80,409,0,4,87812
81,409,0,3,87813
82,409,0,3,87813
83,409,0,3,87813
84,409,0,3,87813
85,409,0,3,87813
86,409,0,3,87813
87,409,0,2,87814
88,409,0,1,87815
89,409,0,1,87815
90,409,0,1,87815
91,409,0,0,87816
92,409,0,0,87816
93,409,0,0,87816
94,409,0,0,87816
95,409,0,0,87816
96,409,0,0,87816
97,409,0,0,87816
98,409,0,0,87816
99,409,0,0,87816
100,409,0,0,87816
101,409,0,0,87816
102,409,0,0,87816
103,409,0,0,87816
104,409,0,0,87816
105,409,0,0,87816
106,409,0,0,87816
107,409,0,0,87816
108,409,0,0,87816
109,409,0,0,87816
110,409,0,0,87816
111,409,0,0,87816
112,409,0,0,87816
113,409,0,0,87816
114,409,0,0,87816
115,409,0,0,87816
116,409,0,0,87816
117,409,0,0,87816
118,409,0,0,87816
119,409,0,0,87816
