Step,Susceptible,Exposed,Infected,Removed
0,88217,3,4,1
1,88212,8,3,2
2,88207,10,6,2
3,88201,11,11,2
4,88188,18,15,4
5,88169,26,25,5
6,88141,42,33,9
7,88101,60,48,16
8,88046,90,68,21
9,87950,133,110,32
10,87825,196,153,51
11,87657,263,237,68
12,87388,403,329,105
13,87056,546,447,176
14,86605,719,640,261
15,85912,1067,871,375
16,85006,1421,1264,534
17,83694,2031,1750,750
18,81950,2805,2415,1055
19,79580,3769,3401,1475
20,76187,5289,4689,2060
21,71883,7001,6487,2854
22,66389,9024,8788,4024
23,59510,11333,11814,5568
24,51388,13728,15496,7613
25,42328,15922,19645,10330
26,33237,17140,24098,13750
27,24631,17173,28317,18104
28,17199,16024,31981,23021
29,11509,13664,34455,28597
30,7397,10981,35125,34722
31,4855,8065,34370,40935
32,3127,5794,32417,46887
33,2065,3955,29715,52490
34,1459,2587,26465,57714
35,1076,1662,23253,62234
36,817,1089,20030,66289
37,630,756,17051,69788
38,512,483,14481,72749
39,415,342,12184,75284
40,356,243,10261,77365
41,319,161,8518,79227
42,284,105,7114,80722
43,263,72,5961,81929
44,234,64,4987,82940
45,223,45,4157,83800
46,208,35,3507,84475
47,201,24,2920,85080
48,195,20,2421,85589
49,188,17,2027,85993
50,185,13,1680,86347
51,182,10,1420,86613
52,178,5,1186,86856
53,176,5,966,87078
54,176,3,801,87245
55,172,5,671,87377
56,169,7,548,87501
57,167,6,460,87592
58,167,2,388,87668
59,167,1,334,87723
60,167,0,283,87775
61,165,2,234,87824
62,165,0,193,87867
63,165,0,154,87906
64,165,0,133,87927
65,165,0,117,87943
66,164,1,98,87962
67,164,1,88,87972
68,164,0,70,87991
69,164,0,62,87999
70,164,0,50,88011
71,164,0,43,88018
72,163,1,37,88024
73,163,1,28,88033
74,163,0,24,88038
75,163,0,18,88044
76,163,0,14,88048
77,163,0,11,88051
78,163,0,11,88051
79,163,0,9,88053
80,163,0,9,88053
81,163,0,8,88054
82,163,0,6,88056
83,163,0,5,88057
84,163,0,4,88058
85,163,0,2,88060
86,163,0,1,88061
87,163,0,1,88061
88,163,0,1,88061
89,163,0,1,88061
90,163,0,1,88061
91,163,0,1,88061
92,163,0,1,88061
93,163,0,1,88061
94,163,0,1,88061
95,163,0,1,88061
96,163,0,1,88061
97,163,0,0,88062
98,163,0,0,88062
99,163,0,0,88062
100,163,0,0,88062
101,163,0,0,88062
102,163,0,0,88062
103,163,0,0,88062
104,163,0,0,88062
105,163,0,0,88062
106,163,0,0,88062
107,163,0,0,88062
108,163,0,0,88062
109,163,0,0,88062
110,163,0,0,88062
111,163,0,0,88062
112,163,0,0,88062
113,163,0,0,88062
114,163,0,0,88062
115,163,0,0,88062
116,163,0,0,88062
117,163,0,0,88062
118,163,0,0,88062
119,163,0,0,88062
