Step,Susceptible,Exposed,Infected,Removed
0,88219,1,3,2
1,88214,5,4,2
2,88206,10,7,2
3,88203,8,12,2
4,88191,17,15,2
5,88176,25,21,3
6,88157,35,27,6
7,88134,44,40,7
8,88098,56,60,11
9,88038,87,84,16
10,87965,123,114,23
11,87868,168,157,32
12,87735,232,207,51
13,87538,323,291,73
14,87289,433,396,107
15,86936,590,555,144
16,86473,782,775,195
17,85725,1190,1024,286
18,84821,1553,1461,390
19,83547,2127,2013,538
20,81937,2785,2758,745
21,79652,3844,3714,1015
22,76662,5126,5048,1389
23,72819,6630,6870,1906
24,67854,8622,9182,2567
25,61834,10872,12049,3470
26,54521,13350,15707,4647
27,46372,15506,20146,6201
28,37694,17209,25043,8279
29,29142,17961,30341,10781
30,21475,17629,35190,13931
31,14997,16244,39613,17371
32,10001,13931,42930,21363
33,6434,11275,44811,25705
34,3996,8563,45437,30229
35,2523,6197,44786,34719
36,1611,4284,43182,39148
37,1062,2915,40628,43620
38,708,1924,37818,47775
39,478,1303,34884,51560
40,321,875,31888,55141
41,234,560,29082,58349
42,169,377,26334,61345
43,136,257,23758,64074
44,108,170,21455,66492
45,90,110,19302,68723
46,72,64,17411,70678
47,64,47,15706,72408
48,56,36,14225,73908
49,48,30,12793,75354
50,42,23,11465,76695
51,37,17,10339,77832
52,34,11,9265,78915
53,27,13,8330,79855
54,25,5,7496,80699
55,24,2,6681,81518
56,22,2,6022,82179
57,22,2,5444,82757
58,21,1,4907,83296
59,21,1,4403,83800
60,20,1,3976,84228
61,20,0,3604,84601
62,19,1,3224,84981
63,19,0,2935,85271
64,19,0,2644,85562
65,16,3,2376,85830
66,16,3,2141,86065
67,16,2,1923,86284
68,14,3,1728,86480
69,13,3,1557,86652
70,13,1,1401,86810
71,12,1,1256,86956
72,12,1,1124,87088
73,11,1,1016,87197
74,11,0,920,87294
75,11,0,831,87383
76,11,0,736,87478
77,11,0,668,87546
78,11,0,601,87613
79,11,0,544,87670
80,11,0,480,87734
81,11,0,435,87779
82,11,0,398,87816
83,11,0,353,87861
84,11,0,319,87895
85,11,0,283,87931
86,11,0,260,87954
87,11,0,238,87976
88,11,0,213,88001
89,10,1,204,88010
90,10,0,185,88030
91,10,0,165,88050
92,10,0,145,88070
93,10,0,123,88092
94,10,0,108,88107
95,10,0,101,88114
96,10,0,88,88127
97,10,0,76,88139
98,10,0,66,88149
99,10,0,62,88153
100,10,0,57,88158
101,10,0,51,88164
102,10,0,45,88170
103,10,0,40,88175
104,10,0,35,88180
105,10,0,32,88183
106,10,0,29,88186
107,10,0,27,88188
108,10,0,22,88193
109,10,0,20,88195
110,10,0,18,88197
111,10,0,16,88199
112,10,0,14,88201
113,10,0,12,88203
114,10,0,12,88203
115,10,0,12,88203
116,10,0,10,88205
117,10,0,10,88205
118,10,0,10,88205
119,10,0,10,88205
