Step,Susceptible,Exposed,Infected,Removed
0,88215,5,5,0
1,88207,12,4,2
2,88205,10,8,2
3,88195,16,12,2
4,88186,21,14,4
5,88178,17,26,4
6,88151,36,32,6
7,88119,48,50,8
8,88076,72,65,12
9,88007,103,96,19
10,87927,139,126,33
11,87795,198,189,43
12,87628,278,255,64
13,87374,390,376,85
14,87030,552,522,121
15,86522,773,754,176
16,85819,1081,1075,250
17,84890,1465,1503,367
18,83550,2093,2071,511
19,81729,2907,2883,706
20,79213,3897,4147,968
21,75782,5336,5743,1364
22,71242,7219,7871,1893
23,65429,9418,10665,2713
24,58373,11697,14396,3759
25,49912,14368,18794,5151
26,40932,16207,23992,7094
27,31692,17178,29840,9515
28,22969,17328,35391,12537
29,15619,15968,40604,16034
30,10072,13379,44774,20000
31,6228,10508,46956,24533
32,3794,7696,47506,29229
33,2263,5417,46632,33913
34,1384,3603,44708,38530
35,885,2285,42104,42951
36,550,1465,39029,47181
37,363,906,35954,51002
38,244,562,32857,54562
39,175,347,29923,57780
40,129,217,27087,60792
41,101,149,24402,63573
42,77,97,21995,66056
43,61,63,19796,68305
44,51,42,17773,70359
45,50,15,15997,72163
46,41,15,14397,73772
47,33,16,12946,75230
48,31,11,11709,76474
49,30,7,10566,77622
50,28,8,9500,78689
51,27,4,8541,79653
52,23,4,7681,80517
53,22,3,6863,81337
54,21,2,6177,82025
55,21,0,5605,82599
56,20,1,5013,83191
57,17,4,4511,83693
58,16,2,4059,84148
59,15,1,3679,84530
60,15,1,3332,84877
61,15,0,2988,85222
62,13,2,2701,85509
63,13,2,2445,85765
64,13,0,2208,86004
65,11,2,1972,86240
66,11,0,1758,86456
67,11,0,1594,86620
68,11,0,1424,86790
69,11,0,1288,86926
70,11,0,1153,87061
71,11,0,1043,87171
72,11,0,956,87258
73,11,0,864,87350
74,11,0,780,87434
75,11,0,701,87513
76,11,0,608,87606
77,11,0,553,87661
78,11,0,499,87715
79,10,1,454,87760
80,10,1,406,87808
81,10,1,368,87846
82,10,0,337,87878
83,10,0,302,87913
84,10,0,271,87944
85,9,1,246,87969
86,9,1,218,87997
87,9,1,208,88007
88,9,1,184,88031
89,9,1,172,88043
90,9,0,157,88059
91,9,0,143,88073
92,9,0,124,88092
93,9,0,107,88109
94,9,0,99,88117
95,9,0,89,88127
96,9,0,80,88136
97,9,0,73,88143
98,9,0,67,88149
99,9,0,56,88160
100,9,0,51,88165
101,9,0,45,88171
102,9,0,38,88178
103,9,0,35,88181
104,9,0,32,88184
105,9,0,29,88187
106,9,0,25,88191
107,9,0,24,88192
108,9,0,23,88193
109,9,0,22,88194
110,9,0,19,88197
111,9,0,19,88197
112,9,0,18,88198
113,9,0,17,88199
114,9,0,14,88202
115,9,0,13,88203
116,9,0,13,88203
117,9,0,11,88205
118,9,0,11,88205
119,9,0,10,88206
