Step,Susceptible,Exposed,Infected,Removed
0,88215,5,4,1
1,88211,9,4,1
2,88207,10,7,1
3,88199,15,10,1
4,88187,20,14,4
5,88175,25,18,7
6,88162,25,27,11
7,88138,42,30,15
8,88103,61,36,25
9,88068,83,43,31
10,88023,99,60,43
11,87968,113,91,53
12,87875,165,120,65
13,87756,232,153,84
14,87605,292,213,115
15,87425,372,283,145
16,87135,533,367,190
17,86776,707,493,249
18,86328,906,658,333
19,85662,1266,838,459
20,84879,1619,1123,604
21,83754,2161,1531,779
22,82338,2827,2010,1050
23,80400,3770,2682,1373
24,77944,4977,3450,1854
25,74984,6248,4539,2454
26,71279,7833,5846,3267
27,66725,9677,7485,4338
28,61275,11760,9585,5605
29,54997,13891,12087,7250
30,47832,16207,14844,9342
31,40475,17939,17884,11927
32,33114,18979,21180,14952
33,26220,19225,24087,18693
34,19926,18797,26558,22944
35,14728,17411,28582,27504
36,10558,15454,29632,32581
37,7458,13090,29947,37730
38,5316,10687,29215,43007
39,3851,8393,27888,48093
40,2791,6577,25955,52902
41,2071,5024,23656,57474
42,1601,3763,21302,61559
43,1272,2808,18896,65249
44,1038,2069,16653,68465
45,870,1512,14531,71312
46,738,1110,12510,73867
47,622,839,10718,76046
48,560,612,9151,77902
49,504,426,7787,79508
50,460,320,6565,80880
51,422,251,5483,82069
52,390,201,4614,83020
53,369,147,3884,83825
54,360,109,3250,84506
55,348,83,2710,85084
56,342,58,2269,85556
57,334,50,1918,85923
58,330,43,1597,86255
59,326,34,1325,86540
60,318,32,1077,86798
61,314,25,897,86989
62,311,17,744,87153
63,310,14,623,87278
64,307,9,510,87399
65,304,9,433,87479
66,304,4,354,87563
67,300,7,293,87625
68,298,5,242,87680
69,298,4,215,87708
70,297,3,178,87747
71,297,3,151,87774
72,296,4,125,87800
73,295,4,109,87817
74,295,3,93,87834
75,294,3,73,87855
76,294,3,62,87866
77,294,1,54,87876
78,294,0,43,87888
79,294,0,35,87896
80,294,0,29,87902
81,294,0,22,87909
82,294,0,15,87916
83,294,0,12,87919
84,294,0,9,87922
85,294,0,7,87924
86,294,0,7,87924
87,294,0,4,87927
88,294,0,4,87927
89,294,0,3,87928
90,294,0,2,87929
91,293,1,0,87931
92,293,1,0,87931
93,293,1,0,87931
94,293,1,0,87931
95,293,1,0,87931
96,293,0,1,87931
97,293,0,1,87931
98,293,0,0,87932
99,293,0,0,87932
100,293,0,0,87932
101,293,0,0,87932
102,293,0,0,87932
103,293,0,0,87932
104,293,0,0,87932
105,293,0,0,87932
106,293,0,0,87932
107,293,0,0,87932
108,293,0,0,87932
109,293,0,0,87932
110,293,0,0,87932
111,293,0,0,87932
112,293,0,0,87932
113,293,0,0,87932
114,293,0,0,87932
115,293,0,0,87932
116,293,0,0,87932
117,293,0,0,87932
118,293,0,0,87932
119,293,0,0,87932
