Step,Susceptible,Exposed,Infected,Removed
0,88217,3,5,0
1,88210,9,6,0
2,88202,14,8,1
3,88191,19,13,2
4,88180,24,16,5
5,88165,31,21,8
6,88142,45,27,11
7,88109,59,42,15
8,88068,85,51,21
9,88021,105,67,32
10,87953,142,84,46
11,87845,196,127,57
12,87728,251,168,78
13,87551,330,235,109
14,87289,478,304,154
15,86996,608,406,215
16,86590,801,543,291
17,86046,1048,761,370
18,85218,1532,968,507
19,84221,1967,1353,684
20,82836,2667,1830,892
21,81040,3534,2441,1210
22,78657,4674,3244,1650
23,75657,6046,4277,2245
24,71891,7703,5627,3004
25,67240,9695,7310,3980
26,61625,11877,9484,5239
27,55022,14293,11984,6926
28,47629,16662,14916,9018
29,39985,18511,18103,11626
30,32152,19857,21341,14875
31,24983,20033,24622,18587
32,18627,19462,27291,22845
33,13501,17787,29329,27608
34,9397,15619,30485,32724
35,6621,12890,30749,37965
36,4587,10351,29886,43401
37,3281,8058,28119,48767
38,2330,6141,26025,53729
39,1675,4580,23694,58276
40,1251,3392,21181,62401
41,955,2499,18652,66119
42,776,1755,16353,69341
43,642,1251,14156,72176
44,533,909,12149,74634
45,467,661,10222,76875
46,416,485,8668,78656
47,365,371,7345,80144
48,330,263,6226,81406
49,312,194,5186,82533
50,296,131,4345,83453
51,281,97,3616,84231
52,270,85,3009,84861
53,263,70,2514,85378
54,252,62,2062,85849
55,251,43,1724,86207
56,248,31,1420,86526
57,247,27,1185,86766
58,243,21,984,86977
59,242,17,834,87132
60,237,19,693,87276
61,234,16,597,87378
62,232,11,502,87480
63,231,6,421,87567
64,230,6,347,87642
65,228,6,289,87702
66,227,5,223,87770
67,226,3,184,87812
68,226,1,151,87847
69,226,1,114,87884
70,225,2,94,87904
71,225,1,73,87926
72,225,0,62,87938
73,225,0,47,87953
74,225,0,37,87963
75,225,0,28,87972
76,225,0,23,87977
77,224,1,17,87983
78,224,1,14,87986
79,224,0,10,87991
80,224,0,8,87993
81,224,0,5,87996
82,223,1,4,87997
83,223,0,4,87998
84,223,0,3,87999
85,223,0,3,87999
86,223,0,2,88000
87,223,0,2,88000
88,223,0,1,88001
89,223,0,1,88001
90,223,0,1,88001
91,223,0,1,88001
92,223,0,1,88001
93,223,0,1,88001
94,223,0,0,88002
95,223,0,0,88002
96,223,0,0,88002
97,223,0,0,88002
98,223,0,0,88002
99,223,0,0,88002
100,223,0,0,88002
101,223,0,0,88002
102,223,0,0,88002
103,223,0,0,88002
104,223,0,0,88002
105,223,0,0,88002
106,223,0,0,88002
107,223,0,0,88002
108,223,0,0,88002
109,223,0,0,88002
110,223,0,0,88002
111,223,0,0,88002
112,223,0,0,88002
113,223,0,0,88002
114,223,0,0,88002
115,223,0,0,88002
116,223,0,0,88002
117,223,0,0,88002
118,223,0,0,88002
119,223,0,0,88002
