Step,Susceptible,Exposed,Infected,Removed
0,88217,3,4,1
1,88214,6,3,2
2,88211,7,4,3
3,88207,7,8,3
4,88199,13,9,4
5,88193,15,11,6
6,88182,20,16,7
7,88169,29,14,13
8,88157,35,19,14
9,88138,39,32,16
10,88114,49,40,22
11,88076,63,57,29
12,88019,102,63,41
13,87949,137,81,58
14,87861,180,117,67
15,87746,229,160,90
16,87591,295,222,117
17,87381,390,309,145
18,87096,522,418,189
19,86681,757,544,243
20,86185,979,748,313
21,85530,1280,990,425
22,84683,1700,1271,571
23,83620,2154,1677,774
24,82211,2818,2152,1044
25,80432,3596,2811,1386
26,78161,4600,3676,1788
27,75265,5937,4656,2367
28,71673,7431,6060,3061
29,67458,9042,7774,3951
30,62287,11048,9723,5167
31,56540,12954,12185,6546
32,49911,15091,14795,8428
33,42920,16915,17785,10605
34,35833,18005,21135,13252
35,28818,18691,24293,16423
36,22478,18459,27162,20126
37,17037,17454,29579,24155
38,12531,15878,31203,28613
39,9169,13699,32067,33290
40,6628,11391,32049,38157
41,4816,9177,31276,42956
42,3498,7342,29737,47648
43,2565,5699,27961,52000
44,1942,4294,25836,56153
45,1469,3276,23409,60071
46,1152,2434,20978,63661
47,945,1805,18609,66866
48,772,1352,16372,69729
49,662,990,14353,72220
50,562,732,12538,74393
51,494,533,10915,76283
52,442,401,9452,77930
53,402,308,8212,79303
54,379,229,7105,80512
55,357,149,6183,81536
56,340,119,5285,82481
57,320,107,4553,83245
58,303,80,3922,83920
59,292,62,3416,84455
60,282,51,2893,84999
61,270,52,2473,85430
62,263,39,2163,85760
63,257,30,1867,86071
64,249,25,1622,86329
65,240,25,1389,86571
66,237,18,1178,86792
67,234,16,993,86982
68,230,13,857,87125
69,228,10,736,87251
70,226,9,621,87369
71,225,7,536,87457
72,225,5,454,87541
73,224,5,393,87603
74,224,3,340,87658
75,224,0,297,87704
76,223,1,257,87744
77,220,4,218,87783
78,220,3,191,87811
79,220,2,165,87838
80,220,0,141,87864
81,220,0,115,87890
82,220,0,92,87913
83,220,0,67,87938
84,220,0,60,87945
85,219,1,52,87953
86,218,2,45,87960
87,218,2,36,87969
88,218,1,32,87974
89,217,1,29,87978
90,216,1,25,87983
91,216,1,17,87991
92,216,1,11,87997
93,216,1,10,87998
94,216,1,7,88001
95,216,1,7,88001
96,216,0,7,88002
97,216,0,5,88004
98,216,0,3,88006
99,216,0,2,88007
100,216,0,2,88007
101,216,0,1,88008
102,216,0,0,88009
103,216,0,0,88009
104,216,0,0,88009
105,216,0,0,88009
106,216,0,0,88009
107,216,0,0,88009
108,216,0,0,88009
109,216,0,0,88009
110,216,0,0,88009
111,216,0,0,88009
112,216,0,0,88009
113,216,0,0,88009
114,216,0,0,88009
115,216,0,0,88009
116,216,0,0,88009
117,216,0,0,88009
118,216,0,0,88009
119,216,0,0,88009
