Step,Susceptible,Exposed,Infected,Removed
0,88215,5,3,2
1,88211,7,4,3
2,88207,7,6,5
3,88201,8,11,5
4,88196,9,14,6
5,88183,18,18,6
6,88167,27,23,8
7,88150,31,33,11
8,88119,50,44,12
9,88079,69,64,13
10,88016,96,90,23
11,87939,124,130,32
12,87817,188,173,47
13,87676,221,266,62
14,87462,326,348,89
15,87177,459,453,136
16,86785,617,631,192
17,86217,861,901,246
18,85459,1189,1251,326
19,84331,1752,1676,466
20,82918,2250,2435,622
21,80827,3193,3324,881
22,78184,4227,4623,1191
23,74608,5664,6270,1683
24,69891,7518,8544,2272
25,64179,9477,11489,3080
26,57102,11789,15024,4310
27,48925,14020,19481,5799
28,40114,15777,24612,7722
29,31134,16878,29998,10215
30,22998,16463,35674,13090
31,15937,15382,40319,16587
32,10509,13198,43950,20568
33,6754,10333,46134,25004
34,4255,7708,46625,29637
35,2736,5365,45822,34302
36,1740,3589,44046,38850
37,1119,2397,41502,43207
38,745,1555,38624,47301
39,513,1016,35615,51081
40,364,659,32524,54678
41,264,431,29610,57920
42,199,282,26835,60909
43,138,203,24343,63541
44,108,132,21998,65987
45,99,77,19890,68159
46,84,52,17970,70119
47,70,41,16216,71898
48,62,28,14555,73580
49,52,21,13056,75096
50,42,24,11768,76391
51,34,18,10599,77574
52,30,10,9597,78588
53,27,4,8618,79576
54,23,4,7773,80425
55,20,6,6984,81215
56,20,3,6292,81910
57,20,3,5620,82582
58,18,4,5072,83131
59,18,4,4580,83623
60,16,5,4130,84074
61,14,6,3731,84474
62,13,4,3349,84859
63,11,6,3013,85195
64,9,7,2702,85507
65,8,2,2434,85781
66,8,1,2174,86042
67,8,1,1990,86226
68,8,0,1808,86409
69,8,0,1639,86578
70,8,0,1480,86737
71,8,0,1308,86909
72,8,0,1175,87042
73,8,0,1063,87154
74,8,0,951,87266
75,8,0,863,87354
76,8,0,776,87441
77,8,0,694,87523
78,8,0,627,87590
79,8,0,558,87659
80,8,0,503,87714
81,8,0,454,87763
82,8,0,408,87809
83,8,0,366,87851
84,8,0,341,87876
85,8,0,315,87902
86,8,0,277,87940
87,8,0,250,87967
88,8,0,232,87985
89,8,0,204,88013
90,8,0,184,88033
91,8,0,162,88055
92,8,0,146,88071
93,8,0,132,88085
94,8,0,122,88095
95,8,0,112,88105
96,8,0,98,88119
97,8,0,85,88132
98,8,0,71,88146
99,8,0,66,88151
100,8,0,61,88156
101,8,0,56,88161
102,8,0,50,88167
103,8,0,45,88172
104,8,0,40,88177
105,8,0,38,88179
106,8,0,37,88180
107,8,0,34,88183
108,8,0,32,88185
109,8,0,28,88189
110,8,0,26,88191
111,8,0,23,88194
112,8,0,19,88198
113,8,0,19,88198
114,8,0,17,88200
115,8,0,14,88203
116,8,0,13,88204
117,8,0,12,88205
118,8,0,9,88208
119,8,0,7,88210
