Step,Susceptible,Exposed,Infected,Removed
0,88214,6,3,2
1,88210,7,5,3
2,88201,15,6,3
3,88193,20,9,3
4,88185,22,15,3
5,88170,27,19,9
6,88151,39,22,13
7,88123,57,27,18
8,88095,69,37,24
9,88056,86,50,33
10,87999,112,76,38
11,87920,143,103,59
12,87795,225,135,70
13,87645,297,184,99
14,87424,397,271,133
15,87146,534,361,184
16,86762,742,458,263
17,86273,962,630,360
18,85581,1329,823,492
19,84727,1734,1106,658
20,83598,2276,1461,890
21,82104,3033,1895,1193
22,80168,3906,2583,1568
23,77621,5041,3491,2072
24,74355,6582,4527,2761
25,70222,8370,5956,3677
26,65235,10489,7647,4854
27,59375,12649,9848,6353
28,52473,15235,12220,8297
29,44992,17415,15043,10775
30,37301,18986,18129,13809
31,29799,19842,21050,17534
32,22976,19814,23749,21686
33,16961,18893,25857,26514
34,12217,17076,27338,31594
35,8772,14545,27891,37017
36,6167,12059,27471,42528
37,4370,9656,26021,48178
38,3149,7408,24141,53527
39,2334,5607,21899,58385
40,1788,4158,19520,62759
41,1438,3037,17046,66704
42,1189,2272,14601,70163
43,1009,1688,12390,73138
44,863,1219,10493,75650
45,739,920,8825,77741
46,667,661,7413,79484
47,616,512,6124,80973
48,573,386,5087,82179
49,530,295,4245,83155
50,495,239,3500,83991
51,468,182,2898,84677
52,448,140,2389,85248
53,437,104,1919,85765
54,431,75,1584,86135
55,421,63,1278,86463
56,416,46,1033,86730
57,410,38,838,86939
58,405,34,683,87103
59,401,27,562,87235
60,397,16,472,87340
61,395,12,383,87435
62,394,9,311,87511
63,393,7,251,87574
64,391,8,210,87616
65,391,5,171,87658
66,388,5,135,87697
67,388,3,105,87729
68,386,4,91,87744
69,386,3,73,87763
70,385,2,63,87775
71,385,1,52,87787
72,385,1,46,87793
73,385,1,36,87803
74,385,0,29,87811
75,385,0,29,87811
76,385,0,19,87821
77,385,0,13,87827
78,385,0,12,87828
79,385,0,9,87831
80,385,0,8,87832
81,385,0,6,87834
82,385,0,6,87834
83,385,0,5,87835
84,385,0,5,87835
85,385,0,5,87835
86,385,0,5,87835
87,385,0,5,87835
88,385,0,5,87835
89,385,0,5,87835
90,385,0,5,87835
91,385,0,4,87836
92,385,0,4,87836
93,385,0,3,87837
94,385,0,3,87837
95,385,0,2,87838
96,385,0,2,87838
97,385,0,1,87839
98,385,0,0,87840
99,385,0,0,87840
100,385,0,0,87840
101,385,0,0,87840
102,385,0,0,87840
103,385,0,0,87840
104,385,0,0,87840
105,385,0,0,87840
106,385,0,0,87840
107,385,0,0,87840
108,385,0,0,87840
109,385,0,0,87840
110,385,0,0,87840
111,385,0,0,87840
112,385,0,0,87840
113,385,0,0,87840
114,385,0,0,87840
115,385,0,0,87840
116,385,0,0,87840
117,385,0,0,87840
118,385,0,0,87840
119,385,0,0,87840
