Step,Susceptible,Exposed,Infected,Removed
0,88216,4,5,0
1,88207,11,5,2
2,88205,8,10,2
3,88197,13,12,3
4,88186,16,19,4
5,88162,34,22,7
6,88133,37,42,13
7,88088,57,58,22
8,88018,97,78,32
9,87934,127,122,42
10,87786,201,174,64
11,87614,274,241,96
12,87358,368,364,135
13,86957,581,478,209
14,86464,756,725,280
15,85718,1093,1008,406
16,84670,1527,1442,586
17,83197,2147,2048,833
18,81139,2972,2902,1212
19,78379,4092,4013,1741
20,74782,5454,5587,2402
21,69876,7369,7559,3421
22,64044,9205,10205,4771
23,56747,11451,13397,6630
24,48301,13488,17471,8965
25,39276,15022,21839,12088
26,30332,15645,26339,15909
27,22145,15189,30345,20546
28,15464,13455,33377,25929
29,10521,11009,34848,31847
30,6946,8579,34750,37950
31,4629,6134,33473,43989
32,3085,4304,31096,49740
33,2131,2894,28004,55196
34,1555,1883,24734,60053
35,1172,1182,21354,64517
36,898,808,18286,68233
37,721,560,15538,71406
38,602,376,13104,74143
39,526,241,11042,76416
40,457,173,9301,78294
41,417,134,7734,79940
42,379,100,6416,81330
43,351,75,5364,82435
44,327,51,4462,83385
45,314,34,3698,84179
46,303,24,3064,84834
47,293,18,2544,85370
48,280,17,2096,85832
49,273,16,1716,86220
50,269,15,1450,86491
51,267,8,1192,86758
52,262,7,991,86965
53,259,7,821,87138
54,257,5,689,87274
55,256,5,572,87392
56,255,4,476,87490
57,254,3,392,87576
58,253,3,322,87647
59,252,3,266,87704
60,251,1,229,87744
61,251,0,180,87794
62,251,0,144,87830
63,249,2,116,87858
64,248,1,99,87877
65,248,0,76,87901
66,248,0,65,87912
67,248,0,52,87925
68,248,0,46,87931
69,246,2,38,87939
70,246,0,37,87942
71,246,0,31,87948
72,246,0,26,87953
73,246,0,21,87958
74,246,0,19,87960
75,246,0,15,87964
76,246,0,12,87967
77,246,0,10,87969
78,246,0,7,87972
79,246,0,5,87974
80,246,0,5,87974
81,246,0,4,87975
82,245,1,4,87975
83,245,1,3,87976
84,245,1,3,87976
85,245,0,3,87977
86,245,0,2,87978
87,245,0,2,87978
88,245,0,2,87978
89,245,0,2,87978
90,245,0,2,87978
91,245,0,1,87979
92,245,0,1,87979
93,245,0,1,87979
94,245,0,1,87979
95,245,0,1,87979
96,245,0,1,87979
97,245,0,1,87979
98,245,0,1,87979
99,245,0,1,87979
100,245,0,1,87979
101,245,0,1,87979
102,245,0,1,87979
103,245,0,1,87979
104,245,0,1,87979
105,245,0,1,87979
106,245,0,1,87979
107,245,0,0,87980
108,245,0,0,87980
109,245,0,0,87980
110,245,0,0,87980
111,245,0,0,87980
112,245,0,0,87980
113,245,0,0,87980
114,245,0,0,87980
115,245,0,0,87980
116,245,0,0,87980
117,245,0,0,87980
118,245,0,0,87980
119,245,0,0,87980
