Step,Susceptible,Exposed,Infected,Removed
0,88215,5,5,0
1,88212,6,5,2
2,88209,8,5,3
3,88202,10,9,4
4,88196,12,11,6
5,88182,21,12,10
6,88178,15,21,11
7,88159,27,25,14
8,88132,42,33,18
9,88106,50,47,22
10,88059,69,62,35
11,88011,91,73,50
12,87949,101,115,60
13,87833,164,147,81
14,87692,238,187,108
15,87523,274,286,142
16,87262,403,368,192
17,86924,537,498,266
18,86496,709,657,363
19,85930,919,897,479
20,85172,1220,1192,641
21,84140,1614,1620,851
22,82811,2132,2157,1125
23,81037,2888,2788,1512
24,78776,3695,3760,1994
25,75784,4860,4951,2630
26,72019,6223,6525,3458
27,67369,7743,8440,4673
28,61900,9298,10849,6178
29,55345,11222,13576,8082
30,48195,12834,16793,10403
31,40614,13976,20258,13377
32,32986,14572,23743,16924
33,25900,14430,26773,21122
34,19643,13431,29335,25816
35,14564,11904,30906,30851
36,10593,9918,31502,36212
37,7716,7790,30983,41736
38,5565,6086,29364,47210
39,4110,4531,27143,52441
40,3136,3262,24743,57084
41,2459,2371,21955,61440
42,1956,1687,19375,65207
43,1595,1223,16887,68520
44,1337,854,14598,71436
45,1154,622,12415,74034
46,1014,458,10473,76280
47,910,337,8838,78140
48,838,247,7459,79681
49,778,184,6287,80976
50,728,138,5243,82116
51,698,95,4411,83021
52,674,68,3721,83762
53,645,62,3128,84390
54,624,54,2573,84974
55,612,40,2144,85429
56,599,33,1813,85780
57,591,25,1490,86119
58,581,22,1242,86380
59,574,21,1028,86602
60,569,15,877,86764
61,569,7,754,86895
62,564,9,643,87009
63,561,8,542,87114
64,558,7,473,87187
65,555,6,395,87269
66,554,4,332,87335
67,552,4,282,87387
68,551,5,236,87433
69,550,1,197,87477
70,550,0,160,87515
71,549,1,136,87539
72,549,0,108,87568
73,549,0,86,87590
74,549,0,69,87607
75,549,0,56,87620
76,549,0,44,87632
77,549,0,37,87639
78,549,0,29,87647
79,549,0,25,87651
80,549,0,18,87658
81,549,0,17,87659
82,549,0,15,87661
83,549,0,12,87664
84,549,0,12,87664
85,549,0,8,87668
86,549,0,8,87668
87,549,0,7,87669
88,549,0,6,87670
89,549,0,5,87671
90,549,0,4,87672
91,549,0,2,87674
92,549,0,2,87674
93,549,0,1,87675
94,549,0,0,87676
95,549,0,0,87676
96,549,0,0,87676
97,549,0,0,87676
98,549,0,0,87676
99,549,0,0,87676
100,549,0,0,87676
101,549,0,0,87676
102,549,0,0,87676
103,549,0,0,87676
104,549,0,0,87676
105,549,0,0,87676
106,549,0,0,87676
107,549,0,0,87676
108,549,0,0,87676
109,549,0,0,87676
110,549,0,0,87676
111,549,0,0,87676
112,549,0,0,87676
113,549,0,0,87676
114,549,0,0,87676
115,549,0,0,87676
116,549,0,0,87676
117,549,0,0,87676
118,549,0,0,87676
119,549,0,0,87676
