Step,Susceptible,Exposed,Infected,Removed
0,88210,10,3,2
1,88208,8,7,2
2,88201,11,9,4
3,88192,18,8,7
4,88177,27,11,10
5,88168,26,19,12
6,88149,35,27,14
7,88120,53,30,22
8,88087,76,35,27
9,88059,75,54,37
10,88023,78,76,48
11,87947,126,89,63
12,87874,158,107,86
13,87773,218,123,111
14,87659,250,183,133
15,87481,347,225,172
16,87293,428,287,217
17,87039,550,354,282
18,86720,672,488,345
19,86298,857,626,444
20,85733,1115,809,568
21,85032,1443,1012,738
22,84152,1794,1339,940
23,83022,2301,1700,1202
24,81610,2910,2161,1544
25,79794,3749,2689,1993
26,77623,4590,3457,2555
27,74930,5655,4395,3245
28,71662,6958,5455,4150
29,67802,8318,6915,5190
30,63278,9941,8389,6617
31,58119,11608,10207,8291
32,52384,13316,12190,10335
33,46334,14689,14380,12822
34,40040,15876,16683,15626
35,33824,16488,19005,18908
36,27761,16713,21067,22684
37,22429,16115,22878,26803
38,17831,15086,24015,31293
39,13941,13673,24555,36056
40,10848,11987,24475,40915
41,8414,10197,23810,45804
42,6582,8458,22701,50484
43,5273,6819,21234,54899
44,4229,5449,19386,59161
45,3476,4331,17372,63046
46,2943,3356,15460,66466
47,2487,2685,13556,69497
48,2149,2130,11767,72179
49,1922,1571,10124,74608
50,1720,1216,8667,76622
51,1597,912,7315,78401
52,1474,704,6175,79872
53,1392,539,5210,81084
54,1326,423,4361,82115
55,1269,341,3638,82977
56,1225,249,3017,83734
57,1185,204,2500,84336
58,1153,166,2031,84875
59,1131,136,1680,85278
60,1110,118,1370,85627
61,1087,96,1164,85878
62,1074,82,945,86124
63,1066,64,778,86317
64,1060,46,645,86474
65,1053,37,532,86603
66,1044,31,448,86702
67,1039,25,364,86797
68,1037,20,312,86856
69,1034,19,253,86919
70,1030,16,207,86972
71,1026,16,164,87019
72,1025,9,140,87051
73,1019,14,115,87077
74,1018,11,96,87100
75,1017,5,90,87113
76,1016,3,78,87128
77,1015,2,63,87145
78,1015,2,51,87157
79,1014,1,51,87159
80,1014,1,41,87169
81,1014,1,31,87179
82,1014,1,22,87188
83,1014,1,18,87192
84,1014,1,14,87196
85,1014,0,13,87198
86,1014,0,11,87200
87,1014,0,9,87202
88,1014,0,8,87203
89,1014,0,7,87204
90,1014,0,7,87204
91,1014,0,7,87204
92,1014,0,5,87206
93,1014,0,4,87207
94,1014,0,2,87209
95,1014,0,1,87210
96,1014,0,1,87210
97,1014,0,1,87210
98,1014,0,1,87210
99,1014,0,1,87210
100,1014,0,1,87210
101,1014,0,1,87210
102,1014,0,0,87211
103,1014,0,0,87211
104,1014,0,0,87211
105,1014,0,0,87211
106,1014,0,0,87211
107,1014,0,0,87211
108,1014,0,0,87211
109,1014,0,0,87211
110,1014,0,0,87211
111,1014,0,0,87211
112,1014,0,0,87211
113,1014,0,0,87211
114,1014,0,0,87211
115,1014,0,0,87211
116,1014,0,0,87211
117,1014,0,0,87211
118,1014,0,0,87211
119,1014,0,0,87211
