Step,Susceptible,Exposed,Infected,Removed
0,88213,7,5,0
1,88206,11,8,0
2,88198,16,10,1
3,88189,15,19,2
4,88162,37,23,3
5,88132,51,34,8
6,88092,71,49,13
7,88038,89,79,19
8,87940,146,107,32
9,87819,197,165,44
10,87663,254,244,64
11,87414,365,356,90
12,87019,573,498,135
13,86484,809,736,196
14,85691,1178,1052,304
15,84579,1680,1535,431
16,83015,2396,2197,617
17,80750,3466,3103,906
18,77733,4755,4430,1307
19,73466,6642,6270,1847
20,68016,8789,8800,2620
21,60932,11450,12118,3725
22,52461,14145,16323,5296
23,42755,16777,21350,7343
24,32758,18430,27005,10032
25,23398,18619,32836,13372
26,15395,17311,38051,17468
27,9622,14451,41853,22299
28,5747,10960,44133,27385
29,3305,7840,44248,32832
30,1870,5284,42574,38497
31,1101,3474,39953,43697
32,671,2184,36716,48654
33,428,1327,33251,53219
34,291,808,29726,57400
35,201,498,26298,61228
36,148,293,23274,64510
37,113,172,20445,67495
38,80,121,17969,70055
39,65,78,15799,72283
40,49,54,13795,74327
41,40,38,12071,76076
42,31,29,10617,77548
43,26,22,9292,78885
44,22,12,8125,80066
45,22,5,7097,81101
46,22,3,6240,81960
47,22,1,5447,82755
48,21,1,4789,83414
49,19,2,4204,84000
50,19,2,3676,84528
51,18,2,3221,84984
52,18,1,2830,85376
53,16,2,2450,85757
54,16,0,2147,86062
55,16,0,1911,86298
56,15,1,1648,86561
57,15,0,1438,86772
58,15,0,1237,86973
59,15,0,1088,87122
60,15,0,967,87243
61,15,0,845,87365
62,15,0,730,87480
63,15,0,649,87561
64,15,0,573,87637
65,14,1,488,87722
66,13,2,421,87789
67,13,0,362,87850
68,13,0,313,87899
69,13,0,274,87938
70,13,0,247,87965
71,13,0,220,87992
72,13,0,193,88019
73,13,0,168,88044
74,13,0,157,88055
75,13,0,138,88074
76,13,0,122,88090
77,13,0,113,88099
78,13,0,100,88112
79,12,1,78,88134
80,12,1,69,88143
81,12,0,60,88153
82,12,0,53,88160
83,12,0,47,88166
84,12,0,42,88171
85,12,0,38,88175
86,12,0,34,88179
87,12,0,29,88184
88,12,0,23,88190
89,12,0,19,88194
90,12,0,18,88195
91,12,0,13,88200
92,12,0,12,88201
93,12,0,11,88202
94,12,0,11,88202
95,12,0,9,88204
96,12,0,9,88204
97,12,0,5,88208
98,12,0,5,88208
99,12,0,4,88209
100,12,0,4,88209
101,12,0,3,88210
102,12,0,2,88211
103,12,0,2,88211
104,12,0,2,88211
105,12,0,2,88211
106,12,0,2,88211
107,12,0,2,88211
108,12,0,2,88211
109,12,0,1,88212
110,12,0,1,88212
111,12,0,1,88212
112,12,0,1,88212
113,12,0,1,88212
114,12,0,1,88212
115,12,0,1,88212
116,12,0,1,88212
117,12,0,1,88212
118,12,0,1,88212
119,12,0,1,88212
