Step,Susceptible,Exposed,Infected,Removed
0,88216,4,4,1
1,88212,6,5,2
2,88207,8,8,2
3,88199,13,8,5
4,88192,13,13,7
5,88174,26,15,10
6,88160,28,23,14
7,88138,34,34,19
8,88110,41,47,27
9,88075,49,61,40
10,88024,72,80,49
11,87949,109,104,63
12,87853,144,139,89
13,87713,203,190,119
14,87502,301,264,158
15,87209,428,382,206
16,86787,624,554,260
17,86280,800,779,366
18,85537,1116,1078,494
19,84548,1476,1541,660
20,83092,2095,2099,939
21,81182,2826,2913,1304
22,78608,3867,3910,1840
23,75130,5243,5278,2574
24,70718,6711,7267,3529
25,65135,8575,9731,4784
26,58298,10654,12793,6480
27,50473,12619,16450,8683
28,41920,14310,20387,11608
29,33166,15171,24774,15114
30,25000,15003,28706,19516
31,18023,13756,31997,24449
32,12523,11759,33894,30049
33,8460,9445,34416,35904
34,5720,6993,33402,42110
35,3931,4904,31540,47850
36,2768,3355,28745,53357
37,1960,2276,25645,58344
38,1436,1536,22414,62839
39,1104,1016,19468,66637
40,881,682,16648,70014
41,747,442,14131,72905
42,632,308,11933,75352
43,550,216,10082,77377
44,478,165,8413,79169
45,431,119,7042,80633
46,402,85,5868,81870
47,378,59,4895,82893
48,360,44,4045,83776
49,348,36,3338,84503
50,331,29,2795,85070
51,326,15,2305,85579
52,321,10,1918,85976
53,315,11,1583,86316
54,309,10,1321,86585
55,306,9,1106,86804
56,304,6,918,86997
57,298,10,758,87159
58,296,6,633,87290
59,294,7,526,87398
60,294,6,439,87486
61,288,9,366,87562
62,288,6,295,87636
63,287,5,244,87689
64,286,3,206,87730
65,286,3,170,87766
66,286,2,146,87791
67,286,1,133,87805
68,286,0,104,87835
69,286,0,87,87852
70,286,0,77,87862
71,286,0,58,87881
72,285,1,45,87894
73,285,1,37,87902
74,285,0,33,87907
75,285,0,28,87912
76,285,0,23,87917
77,285,0,21,87919
78,285,0,18,87922
79,285,0,17,87923
80,285,0,15,87925
81,285,0,13,87927
82,285,0,10,87930
83,285,0,10,87930
84,285,0,9,87931
85,285,0,6,87934
86,285,0,4,87936
87,285,0,4,87936
88,285,0,4,87936
89,285,0,3,87937
90,285,0,2,87938
91,285,0,1,87939
92,285,0,1,87939
93,285,0,1,87939
94,285,0,1,87939
95,285,0,1,87939
96,285,0,1,87939
97,285,0,1,87939
98,285,0,1,87939
99,285,0,1,87939
100,285,0,1,87939
101,285,0,1,87939
102,285,0,0,87940
103,285,0,0,87940
104,285,0,0,87940
105,285,0,0,87940
106,285,0,0,87940
107,285,0,0,87940
108,285,0,0,87940
109,285,0,0,87940
110,285,0,0,87940
111,285,0,0,87940
112,285,0,0,87940
113,285,0,0,87940
114,285,0,0,87940
115,285,0,0,87940
116,285,0,0,87940
117,285,0,0,87940
118,285,0,0,87940
119,285,0,0,87940
