Step,Susceptible,Exposed,Infected,Removed
0,88218,2,4,1
1,88214,6,3,2
2,88212,6,5,2
3,88206,10,7,2
4,88201,12,9,3
5,88190,16,14,5
6,88173,26,19,7
7,88154,36,26,9
8,88127,54,30,14
9,88098,60,49,18
10,88041,92,69,23
11,87965,125,103,32
12,87847,197,138,43
13,87701,254,205,65
14,87476,384,277,88
15,87182,521,395,127
16,86752,768,531,174
17,86218,1005,764,238
18,85430,1383,1077,335
19,84337,1915,1490,483
20,82890,2633,2032,670
21,80900,3576,2812,937
22,78237,4779,3955,1254
23,74642,6483,5340,1760
24,70144,8409,7257,2415
25,64356,10778,9799,3292
26,57329,13451,12944,4501
27,49075,16351,16734,6065
28,40216,18660,21302,8047
29,31249,20215,26054,10707
30,23004,20400,30814,14007
31,15915,19402,35046,17862
32,10442,17083,38546,22154
33,6597,14080,40655,26893
34,4055,11013,41197,31960
35,2462,8167,40546,37050
36,1527,5866,38613,42219
37,965,4060,36159,47041
38,607,2805,33325,51488
39,392,1909,30274,55650
40,274,1265,27337,59349
41,212,838,24380,62795
42,155,570,21610,65890
43,127,379,19122,68597
44,101,259,16893,70972
45,80,169,14939,73037
46,67,106,13142,74910
47,58,60,11546,76561
48,52,34,10213,77926
49,45,30,8924,79226
50,45,19,7847,80314
51,42,15,6895,81273
52,41,11,5996,82177
53,37,13,5260,82915
54,37,9,4654,83525
55,37,6,4076,84106
56,33,8,3549,84635
57,32,6,3113,85074
58,30,7,2722,85466
59,29,7,2389,85800
60,26,9,2082,86108
61,25,8,1804,86388
62,25,8,1566,86626
63,25,4,1328,86868
64,24,3,1166,87032
65,24,2,1037,87162
66,24,1,914,87286
67,24,0,812,87389
68,24,0,709,87492
69,23,1,618,87583
70,23,1,536,87665
71,23,1,467,87734
72,23,0,425,87777
73,22,1,383,87819
74,22,1,319,87883
75,22,1,282,87920
76,22,0,250,87953
77,21,1,216,87987
78,21,0,194,88010
79,21,0,171,88033
80,21,0,150,88054
81,21,0,131,88073
82,21,0,111,88093
83,21,0,97,88107
84,21,0,87,88117
85,21,0,77,88127
86,21,0,70,88134
87,21,0,61,88143
88,21,0,56,88148
89,21,0,51,88153
90,21,0,45,88159
91,21,0,40,88164
92,21,0,35,88169
93,21,0,31,88173
94,21,0,29,88175
95,21,0,25,88179
96,21,0,21,88183
97,21,0,20,88184
98,21,0,19,88185
99,21,0,17,88187
100,21,0,16,88188
101,21,0,12,88192
102,21,0,9,88195
103,21,0,9,88195
104,21,0,9,88195
105,21,0,9,88195
106,21,0,9,88195
107,21,0,8,88196
108,21,0,7,88197
109,21,0,5,88199
110,21,0,5,88199
111,21,0,4,88200
112,21,0,4,88200
113,21,0,3,88201
114,21,0,3,88201
115,21,0,3,88201
116,21,0,3,88201
117,21,0,2,88202
118,21,0,2,88202
119,21,0,2,88202
