Step,Susceptible,Exposed,Infected,Removed
0,88216,4,4,1
1,88213,5,6,1
2,88210,6,8,1
3,88201,13,10,1
4,88196,11,14,4
5,88178,29,13,5
6,88167,31,21,6
7,88151,33,31,10
8,88120,50,41,14
9,88091,58,58,18
10,88029,94,79,23
11,87947,145,101,32
12,87839,190,150,46
13,87701,246,217,61
14,87486,369,283,87
15,87214,485,394,132
16,86829,672,548,176
17,86300,949,742,234
18,85562,1297,1031,335
19,84570,1769,1420,466
20,83221,2415,1941,648
21,81415,3213,2712,885
22,78936,4404,3646,1239
23,75736,5832,4975,1682
24,71572,7649,6678,2326
25,66276,9909,8906,3134
26,59817,12421,11761,4226
27,52440,14767,15352,5666
28,44069,17148,19385,7623
29,35337,19036,23740,10112
30,27011,19689,28410,13115
31,19592,19216,32692,16725
32,13583,17483,36364,20795
33,8891,15202,38859,25273
34,5709,12413,39938,30165
35,3616,9517,39877,35215
36,2319,7017,38572,40317
37,1499,5021,36639,45066
38,981,3491,34137,49616
39,655,2426,31201,53943
40,469,1634,28271,57851
41,343,1122,25444,61316
42,259,740,22816,64410
43,198,514,20232,67281
44,167,352,17915,69791
45,134,238,15844,72009
46,116,156,13974,73979
47,99,121,12276,75729
48,84,84,10732,77325
49,75,62,9402,78686
50,67,49,8254,79855
51,61,40,7210,80914
52,58,27,6324,81816
53,53,26,5553,82593
54,48,19,4865,83293
55,44,17,4254,83910
56,43,13,3734,84435
57,42,9,3243,84931
58,37,10,2842,85336
59,36,6,2497,85686
60,36,5,2161,86023
61,35,5,1897,86288
62,33,4,1669,86519
63,33,1,1469,86722
64,33,1,1286,86905
65,32,2,1105,87086
66,32,0,960,87233
67,31,1,832,87361
68,31,1,727,87466
69,31,1,632,87561
70,31,1,539,87654
71,31,1,471,87722
72,31,1,412,87781
73,31,0,350,87844
74,31,0,295,87899
75,31,0,262,87932
76,31,0,231,87963
77,31,0,210,87984
78,31,0,182,88012
79,31,0,159,88035
80,31,0,143,88051
81,31,0,128,88066
82,31,0,110,88084
83,31,0,94,88100
84,31,0,86,88108
85,31,0,78,88116
86,31,0,69,88125
87,31,0,63,88131
88,31,0,56,88138
89,31,0,49,88145
90,31,0,45,88149
91,31,0,42,88152
92,31,0,39,88155
93,31,0,31,88163
94,31,0,28,88166
95,31,0,24,88170
96,31,0,20,88174
97,31,0,19,88175
98,31,0,18,88176
99,31,0,18,88176
100,31,0,18,88176
101,31,0,14,88180
102,31,0,13,88181
103,31,0,11,88183
104,31,0,11,88183
105,31,0,10,88184
106,31,0,7,88187
107,31,0,7,88187
108,31,0,7,88187
109,31,0,6,88188
110,31,0,5,88189
111,31,0,5,88189
112,31,0,5,88189
113,31,0,5,88189
114,31,0,4,88190
115,31,0,4,88190
116,31,0,3,88191
117,31,0,2,88192
118,31,0,2,88192
119,31,0,2,88192
