Step,Susceptible,Exposed,Infected,Removed
0,88215,5,4,1
1,88213,5,5,2
2,88204,12,7,2
3,88199,15,8,3
4,88190,19,11,5
5,88175,29,13,8
6,88161,32,19,13
7,88144,34,31,16
8,88110,52,43,20
9,88064,79,55,27
10,88004,101,86,34
11,87925,145,108,47
12,87806,202,153,64
13,87660,273,205,87
14,87430,401,270,124
15,87185,503,360,177
16,86859,606,515,245
17,86381,863,636,345
18,85752,1161,856,456
19,84952,1473,1204,596
20,83818,2051,1559,797
21,82341,2716,2102,1066
22,80396,3568,2831,1430
23,77869,4644,3775,1937
24,74590,6039,4967,2629
25,70401,7745,6550,3529
26,65398,9668,8494,4665
27,59414,11742,10904,6165
28,52575,13923,13715,8012
29,44928,15950,17033,10314
30,36942,17601,20389,13293
31,29474,17920,24020,16811
32,22531,17658,27017,21019
33,16578,16523,29265,25859
34,11951,14551,30764,30959
35,8410,12384,31183,36248
36,5863,10001,30729,41632
37,4157,7670,29435,46963
38,2977,5744,27384,52120
39,2177,4254,24896,56898
40,1653,3113,22105,61354
41,1315,2148,19493,65269
42,1068,1515,16924,68718
43,890,1099,14553,71683
44,756,803,12451,74215
45,657,589,10605,76374
46,572,455,9025,78173
47,522,309,7663,79731
48,478,229,6488,81030
49,446,174,5440,82165
50,417,135,4512,83161
51,394,108,3821,83902
52,373,94,3205,84553
53,362,74,2645,85144
54,348,56,2209,85612
55,341,42,1887,85955
56,333,38,1576,86278
57,327,32,1316,86550
58,321,25,1081,86798
59,319,18,885,87003
60,317,15,720,87173
61,316,11,593,87305
62,314,10,488,87413
63,313,8,418,87486
64,312,4,343,87566
65,311,3,298,87613
66,311,2,251,87661
67,309,4,208,87704
68,309,4,169,87743
69,309,1,142,87773
70,309,0,116,87800
71,309,0,99,87817
72,309,0,78,87838
73,309,0,63,87853
74,309,0,53,87863
75,309,0,47,87869
76,309,0,41,87875
77,309,0,34,87882
78,309,0,27,87889
79,309,0,22,87894
80,309,0,16,87900
81,309,0,12,87904
82,309,0,11,87905
83,309,0,10,87906
84,309,0,8,87908
85,309,0,6,87910
86,309,0,3,87913
87,309,0,3,87913
88,309,0,3,87913
89,309,0,3,87913
90,309,0,3,87913
91,309,0,3,87913
92,309,0,3,87913
93,309,0,3,87913
94,309,0,3,87913
95,309,0,3,87913
96,309,0,2,87914
97,309,0,2,87914
98,309,0,2,87914
99,309,0,1,87915
100,309,0,1,87915
101,309,0,1,87915
102,309,0,1,87915
103,309,0,1,87915
104,309,0,1,87915
105,309,0,1,87915
106,309,0,0,87916
107,309,0,0,87916
108,309,0,0,87916
109,309,0,0,87916
110,309,0,0,87916
111,309,0,0,87916
112,309,0,0,87916
113,309,0,0,87916
114,309,0,0,87916
115,309,0,0,87916
116,309,0,0,87916
117,309,0,0,87916
118,309,0,0,87916
119,309,0,0,87916
