Step,Susceptible,Exposed,Infected,Removed
0,88216,4,5,0
1,88213,4,5,3
2,88205,11,5,4
3,88201,9,10,5
4,88192,14,14,5
5,88186,13,18,8
6,88163,28,22,12
7,88146,36,27,16
8,88123,43,39,20
9,88090,57,53,25
10,88041,75,76,33
11,87980,115,90,40
12,87900,157,123,45
13,87766,237,155,67
14,87620,299,213,93
15,87415,424,261,125
16,87152,546,359,168
17,86819,695,488,223
18,86366,935,607,317
19,85829,1157,797,442
20,85091,1477,1071,586
21,84164,1887,1416,758
22,82880,2489,1852,1004
23,81234,3271,2378,1342
24,79266,4107,3083,1769
25,76733,5186,3969,2337
26,73548,6567,5085,3025
27,69642,8198,6486,3899
28,64959,10011,8203,5052
29,59488,11911,10366,6460
30,53297,13980,12685,8263
31,46470,15913,15378,10464
32,39252,17514,18254,13205
33,32281,18385,21243,16316
34,25779,18466,23968,20012
35,19971,18001,26109,24144
36,15098,16541,27785,28801
37,11232,14594,28696,33703
38,8234,12393,28802,38796
39,6069,10211,28092,43853
40,4480,8272,26675,48798
41,3374,6472,24880,53499
42,2590,4977,22668,57990
43,2050,3757,20426,61992
44,1622,2888,18183,65532
45,1350,2139,16030,68706
46,1125,1631,13912,71557
47,969,1216,12059,73981
48,836,925,10347,76117
49,745,691,8902,77887
50,679,503,7580,79463
51,626,387,6432,80780
52,588,302,5427,81908
53,559,228,4591,82847
54,525,184,3878,83638
55,504,139,3272,84310
56,488,104,2744,84889
57,468,78,2310,85369
58,458,61,1940,85766
59,450,43,1603,86129
60,445,35,1340,86405
61,443,26,1134,86622
62,437,22,930,86836
63,434,19,746,87026
64,434,12,635,87144
65,434,9,519,87263
66,429,10,424,87362
67,427,9,359,87430
68,425,8,297,87495
69,425,3,240,87557
70,424,3,188,87610
71,424,2,148,87651
72,424,1,120,87680
73,423,2,101,87699
74,423,2,89,87711
75,423,1,74,87727
76,420,3,62,87740
77,419,2,54,87750
78,418,3,39,87765
79,418,1,35,87771
80,418,1,30,87776
81,418,0,27,87780
82,417,1,24,87783
83,417,1,19,87788
84,417,0,16,87792
85,417,0,14,87794
86,417,0,13,87795
87,417,0,11,87797
88,417,0,10,87798
89,417,0,8,87800
90,417,0,8,87800
91,417,0,6,87802
92,417,0,5,87803
93,417,0,5,87803
94,417,0,4,87804
95,417,0,3,87805
96,417,0,2,87806
97,417,0,1,87807
98,417,0,1,87807
99,417,0,1,87807
100,417,0,1,87807
101,417,0,1,87807
102,417,0,1,87807
103,417,0,1,87807
104,417,0,0,87808
105,417,0,0,87808
106,417,0,0,87808
107,417,0,0,87808
108,417,0,0,87808
109,417,0,0,87808
110,417,0,0,87808
111,417,0,0,87808
112,417,0,0,87808
113,417,0,0,87808
114,417,0,0,87808
115,417,0,0,87808
116,417,0,0,87808
117,417,0,0,87808
118,417,0,0,87808
119,417,0,0,87808
