Step,Susceptible,Exposed,Infected,Removed
0,88216,4,4,1
1,88213,6,3,3
2,88209,10,2,4
3,88207,7,7,4
4,88195,14,10,6
5,88186,20,13,6
6,88167,35,15,8
7,88155,38,19,13
8,88131,49,28,17
9,88109,56,38,22
10,88070,75,51,29
11,88026,87,73,39
12,87947,129,97,52
13,87874,151,127,73
14,87754,224,150,97
15,87615,294,200,116
16,87441,365,270,149
17,87179,499,360,187
18,86821,689,480,235
19,86395,889,639,302
20,85844,1128,845,408
21,85086,1448,1162,529
22,84020,2024,1468,713
23,82753,2533,1997,942
24,81031,3398,2567,1229
25,78817,4436,3366,1606
26,75929,5805,4363,2128
27,72502,7276,5638,2809
28,68256,8978,7338,3653
29,62928,11199,9353,4745
30,56789,13455,11894,6087
31,49892,15558,14858,7917
32,42623,17371,18145,10086
33,34992,18932,21493,12808
34,27812,19417,24994,16002
35,21198,19230,28058,19739
36,15613,18122,30566,23924
37,11137,16200,32345,28543
38,7868,13753,33216,33388
39,5492,11326,33016,38391
40,3816,9096,32035,43278
41,2696,6961,30363,48205
42,1957,5268,28311,52689
43,1463,3933,26016,56813
44,1142,2902,23539,60642
45,891,2079,21096,64159
46,698,1532,18594,67401
47,592,1081,16383,70169
48,501,811,14258,72655
49,429,578,12396,74822
50,370,456,10768,76631
51,334,331,9308,78252
52,307,258,8017,79643
53,277,195,6923,80830
54,245,162,5937,81881
55,230,121,5088,82786
56,212,101,4382,83530
57,200,81,3739,84205
58,192,66,3184,84783
59,183,53,2742,85247
60,176,47,2351,85651
61,173,29,2025,85998
62,169,24,1714,86318
63,166,17,1461,86581
64,164,15,1245,86801
65,163,11,1058,86993
66,161,9,891,87164
67,159,5,763,87298
68,157,4,648,87416
69,156,2,558,87509
70,155,3,488,87579
71,155,1,415,87654
72,153,3,340,87729
73,153,2,288,87782
74,152,2,245,87826
75,152,1,215,87857
76,151,2,189,87883
77,151,0,165,87909
78,151,0,142,87932
79,151,0,116,87958
80,151,0,99,87975
81,151,0,87,87987
82,150,1,71,88003
83,149,2,58,88016
84,149,0,56,88020
85,149,0,50,88026
86,149,0,41,88035
87,148,1,35,88041
88,148,1,31,88045
89,148,1,23,88053
90,148,1,18,88058
91,148,1,16,88060
92,148,1,13,88063
93,148,1,12,88064
94,148,0,10,88067
95,148,0,8,88069
96,148,0,8,88069
97,148,0,8,88069
98,148,0,7,88070
99,148,0,6,88071
100,148,0,6,88071
101,148,0,5,88072
102,148,0,4,88073
103,148,0,4,88073
104,148,0,3,88074
105,148,0,2,88075
106,148,0,1,88076
107,148,0,1,88076
108,148,0,0,88077
109,148,0,0,88077
110,148,0,0,88077
111,148,0,0,88077
112,148,0,0,88077
113,148,0,0,88077
114,148,0,0,88077
115,148,0,0,88077
116,148,0,0,88077
117,148,0,0,88077
118,148,0,0,88077
119,148,0,0,88077
