Step,Susceptible,Exposed,Infected,Removed
0,88214,6,4,1
1,88210,7,7,1
2,88206,7,10,2
3,88201,6,15,3
4,88184,19,19,3
5,88168,24,28,5
6,88140,39,33,13
7,88110,44,54,17
8,88068,62,69,26
9,87982,111,98,34
10,87902,134,133,56
11,87778,185,187,75
12,87614,269,245,97
13,87383,354,355,133
14,87053,483,495,194
15,86631,639,675,280
16,86049,861,939,376
17,85247,1184,1277,517
18,84171,1584,1770,700
19,82654,2163,2424,984
20,80639,2966,3291,1329
21,77940,4034,4431,1820
22,74481,5270,5989,2485
23,70099,6737,8002,3387
24,64587,8595,10440,4603
25,58039,10425,13504,6257
26,50633,12057,17248,8287
27,42494,13553,21274,10904
28,34134,14396,25571,14124
29,26349,14230,29694,17952
30,19460,13323,33009,22433
31,13883,11581,35469,27292
32,9740,9387,36553,32545
33,6730,7305,36008,38182
34,4654,5362,34581,43628
35,3258,3788,32381,48798
36,2327,2588,29693,53617
37,1717,1792,26626,58090
38,1305,1215,23631,62074
39,1023,823,20726,65653
40,813,592,18121,68699
41,670,411,15799,71345
42,559,287,13632,73747
43,499,186,11700,75840
44,446,140,10030,77609
45,416,96,8600,79113
46,373,86,7379,80387
47,345,61,6295,81524
48,323,51,5380,82471
49,305,42,4603,83275
50,284,37,3957,83947
51,275,26,3364,84560
52,267,20,2865,85073
53,264,9,2433,85519
54,257,9,2086,85873
55,251,10,1775,86189
56,246,9,1526,86444
57,239,12,1290,86684
58,234,9,1112,86870
59,232,8,956,87029
60,230,6,801,87188
61,230,2,697,87296
62,228,2,607,87388
63,227,1,522,87475
64,225,2,459,87539
65,224,2,387,87612
66,223,2,331,87669
67,222,3,278,87722
68,222,2,238,87763
69,219,3,200,87803
70,218,1,173,87833
71,218,0,147,87860
72,217,1,119,87888
73,217,1,100,87907
74,217,1,84,87923
75,216,1,74,87934
76,216,1,66,87942
77,216,0,52,87957
78,216,0,45,87964
79,216,0,36,87973
80,216,0,29,87980
81,216,0,18,87991
82,216,0,15,87994
83,216,0,13,87996
84,216,0,13,87996
85,216,0,9,88000
86,216,0,8,88001
87,216,0,7,88002
88,216,0,5,88004
89,216,0,4,88005
90,216,0,4,88005
91,216,0,4,88005
92,216,0,4,88005
93,216,0,2,88007
94,216,0,2,88007
95,216,0,2,88007
96,216,0,2,88007
97,216,0,2,88007
98,216,0,2,88007
99,216,0,1,88008
100,216,0,1,88008
101,216,0,1,88008
102,216,0,1,88008
103,216,0,1,88008
104,216,0,1,88008
105,216,0,1,88008
106,216,0,1,88008
107,216,0,1,88008
108,216,0,0,88009
109,216,0,0,88009
110,216,0,0,88009
111,216,0,0,88009
112,216,0,0,88009
113,216,0,0,88009
114,216,0,0,88009
115,216,0,0,88009
116,216,0,0,88009
117,216,0,0,88009
118,216,0,0,88009
119,216,0,0,88009
