Step,Susceptible,Exposed,Infected,Removed
0,88215,5,4,1
1,88208,10,5,2
2,88205,7,9,4
3,88198,13,8,6
4,88190,13,15,7
5,88177,21,19,8
6,88154,38,25,8
7,88130,39,47,9
8,88073,72,61,19
9,87997,110,87,31
10,87894,157,119,55
11,87738,248,172,67
12,87556,307,267,95
13,87247,468,380,130
14,86852,646,545,182
15,86265,905,796,259
16,85385,1335,1116,389
17,84145,1888,1656,536
18,82453,2604,2364,804
19,80048,3692,3337,1148
20,76829,5092,4697,1607
21,72469,6904,6584,2268
22,66813,9066,9121,3225
23,59643,11704,12311,4567
24,51101,14353,16415,6356
25,41618,16661,21043,8903
26,31958,17938,26382,11947
27,22987,18011,31325,15902
28,15594,16310,35695,20626
29,9989,13743,38530,25963
30,6249,10677,39658,31641
31,3793,7784,39041,37607
32,2315,5349,37239,43322
33,1489,3523,34267,48946
34,989,2253,30878,54105
35,675,1453,27271,58826
36,472,944,23960,62849
37,342,628,20836,66419
38,255,385,18096,69489
39,207,236,15630,72152
40,167,141,13409,74508
41,134,103,11499,76489
42,118,68,9789,78250
43,108,46,8448,79623
44,93,33,7199,80900
45,85,26,6129,81985
46,81,18,5196,82930
47,76,12,4479,83658
48,72,12,3814,84327
49,69,9,3234,84913
50,68,4,2790,85363
51,67,4,2355,85799
52,66,3,1989,86167
53,65,1,1684,86475
54,64,1,1433,86727
55,62,2,1200,86961
56,62,1,1017,87145
57,58,4,854,87309
58,58,3,727,87437
59,58,1,641,87525
60,57,2,564,87602
61,57,1,478,87689
62,57,1,403,87764
63,57,1,341,87826
64,57,0,290,87878
65,57,0,255,87913
66,57,0,222,87946
67,57,0,193,87975
68,56,1,160,88008
69,56,1,142,88026
70,56,0,120,88049
71,56,0,108,88061
72,56,0,91,88078
73,56,0,81,88088
74,56,0,70,88099
75,56,0,58,88111
76,56,0,51,88118
77,56,0,45,88124
78,56,0,36,88133
79,56,0,28,88141
80,56,0,24,88145
81,56,0,21,88148
82,56,0,18,88151
83,56,0,15,88154
84,56,0,12,88157
85,56,0,8,88161
86,56,0,8,88161
87,56,0,7,88162
88,56,0,6,88163
89,56,0,4,88165
90,56,0,3,88166
91,56,0,3,88166
92,56,0,2,88167
93,56,0,1,88168
94,56,0,1,88168
95,56,0,0,88169
96,56,0,0,88169
97,56,0,0,88169
98,56,0,0,88169
99,56,0,0,88169
100,56,0,0,88169
101,56,0,0,88169
102,56,0,0,88169
103,56,0,0,88169
104,56,0,0,88169
105,56,0,0,88169
106,56,0,0,88169
107,56,0,0,88169
108,56,0,0,88169
109,56,0,0,88169
110,56,0,0,88169
111,56,0,0,88169
112,56,0,0,88169
113,56,0,0,88169
114,56,0,0,88169
115,56,0,0,88169
116,56,0,0,88169
117,56,0,0,88169
118,56,0,0,88169
119,56,0,0,88169
