Step,Susceptible,Exposed,Infected,Removed
0,88217,3,4,1
1,88215,3,6,1
2,88210,6,7,2
3,88202,11,10,2
4,88191,16,14,4
5,88178,21,21,5
6,88157,33,25,10
7,88129,44,39,13
8,88095,59,53,18
9,88048,81,73,23
10,87992,101,106,26
11,87899,150,145,31
12,87764,220,192,49
13,87600,276,272,77
14,87340,412,368,105
15,87026,554,499,146
16,86564,787,672,202
17,85921,1064,963,277
18,85082,1413,1339,391
19,83860,2004,1812,549
20,82265,2728,2457,775
21,80075,3666,3405,1079
22,77220,4875,4594,1536
23,73438,6447,6248,2092
24,68590,8406,8371,2858
25,62852,10381,11075,3917
26,55746,12766,14397,5316
27,47529,15257,18279,7160
28,38971,17001,22650,9603
29,30525,17750,27489,12461
30,22725,17562,32033,15905
31,15980,16487,35823,19935
32,10965,14071,38924,24265
33,7248,11486,40376,29115
34,4772,8841,40443,34169
35,3092,6495,39296,39342
36,2034,4648,37256,44287
37,1356,3156,34736,48977
38,919,2171,31832,53303
39,652,1465,28934,57174
40,469,1004,25915,60837
41,359,644,23138,64084
42,291,401,20499,67034
43,239,262,18153,69571
44,195,187,16094,71749
45,167,129,14130,73799
46,142,92,12375,75616
47,133,64,10933,77095
48,112,53,9571,78489
49,101,36,8357,79731
50,96,22,7330,80777
51,88,19,6414,81704
52,82,16,5645,82482
53,77,13,4938,83197
54,75,7,4335,83808
55,72,7,3807,84339
56,71,2,3368,84784
57,71,2,2926,85226
58,70,2,2548,85605
59,66,5,2238,85916
60,65,4,1980,86176
61,64,3,1703,86455
62,64,2,1483,86676
63,62,4,1296,86863
64,61,2,1144,87018
65,60,2,1028,87135
66,60,1,900,87264
67,59,2,776,87388
68,59,2,668,87496
69,59,2,587,87577
70,59,2,522,87642
71,58,3,457,87707
72,58,3,409,87755
73,58,2,364,87801
74,58,0,316,87851
75,57,1,280,87887
76,56,2,248,87919
77,56,2,216,87951
78,56,2,190,87977
79,54,4,162,88005
80,53,4,142,88026
81,53,2,120,88050
82,53,2,102,88068
83,53,1,89,88082
84,53,1,83,88088
85,53,1,73,88098
86,53,1,67,88104
87,53,1,59,88112
88,52,2,51,88120
89,52,1,47,88125
90,52,1,41,88131
91,52,0,36,88137
92,52,0,33,88140
93,52,0,28,88145
94,52,0,26,88147
95,52,0,25,88148
96,52,0,24,88149
97,52,0,19,88154
98,52,0,15,88158
99,52,0,13,88160
100,52,0,11,88162
101,52,0,11,88162
102,52,0,10,88163
103,52,0,10,88163
104,52,0,10,88163
105,52,0,10,88163
106,52,0,8,88165
107,52,0,7,88166
108,52,0,7,88166
109,52,0,7,88166
110,52,0,6,88167
111,52,0,2,88171
112,52,0,2,88171
113,52,0,1,88172
114,52,0,1,88172
115,52,0,1,88172
116,52,0,0,88173
117,52,0,0,88173
118,52,0,0,88173
119,52,0,0,88173
