Step,Susceptible,Exposed,Infected,Recovered
0,88190,30,4,1
1,88163,54,7,1
2,88103,105,16,1
3,87986,205,32,2
4,87794,362,65,4
5,87527,567,125,6
6,87240,761,212,12
7,86873,996,328,28
8,86306,1388,477,54
9,85435,2007,699,84
10,84395,2671,1027,132
11,82921,3660,1402,242
12,80957,4939,1992,337
13,77822,7155,2752,496
14,74177,9502,3838,708
15,70489,11511,5214,1011
16,67297,12626,6877,1425
17,64460,13171,8593,2001
18,61589,13723,10254,2659
19,58513,14328,11889,3495
20,55123,15147,13524,4431
21,51495,16038,15181,5511
22,47366,17273,16881,6705
23,43151,18358,18626,8090
24,38768,19431,20416,9610
25,34661,20078,22273,11213
26,30551,20587,23994,13093
27,26745,20640,25834,15006
28,23215,20416,27564,17030
29,19925,20099,28967,19234
30,16936,19472,30275,21542
31,14448,18528,31236,24013
32,12242,17377,32076,26530
33,10379,16132,32586,29128
34,8809,14831,32856,31729
35,7529,13468,32781,34447
36,6494,12053,32640,37038
37,5617,10810,32124,39674
38,4886,9593,31455,42291
39,4226,8492,30696,44811
40,3702,7424,29841,47258
41,3279,6489,28860,49597
42,2912,5673,27725,51915
43,2597,4957,26613,54058
44,2317,4343,25323,56242
45,2076,3796,24036,58317
46,1880,3345,22761,60239
47,1723,2896,21515,62091
48,1580,2517,20342,63786
49,1468,2201,19179,65377
50,1384,1908,18006,66927
51,1273,1679,16926,68347
52,1195,1448,15900,69682
53,1125,1262,14897,70941
54,1072,1088,13993,72072
55,1020,941,13044,73220
56,967,845,12170,74243
57,928,728,11309,75260
58,888,622,10513,76202
59,853,544,9802,77026
60,823,467,9159,77776
61,792,417,8522,78494
62,764,359,7973,79129
63,736,335,7388,79766
64,704,306,6868,80347
65,694,255,6346,80930
66,677,234,5902,81412
67,660,212,5446,81907
68,647,184,5022,82372
69,638,159,4646,82782
70,627,136,4332,83130
71,619,113,4009,83484
72,610,99,3739,83777
73,601,92,3468,84064
74,591,87,3241,84306
75,585,78,3024,84538
76,581,73,2766,84805
77,575,63,2546,85041
78,570,59,2344,85252
79,564,55,2174,85432
80,559,52,1994,85620
81,554,50,1832,85789
82,552,43,1678,85952
83,550,37,1547,86091
84,546,36,1443,86200
85,543,33,1342,86307
86,540,33,1235,86417
87,539,25,1139,86522
88,535,23,1062,86605
89,534,19,970,86702
90,533,16,874,86802
91,533,13,810,86869
92,531,13,748,86933
93,529,13,678,87005
94,527,12,627,87059
95,527,11,580,87107
96,526,10,536,87153
97,526,8,490,87201
98,525,8,448,87244
99,524,6,416,87279
100,523,6,384,87312
101,522,5,353,87345
102,522,5,333,87365
103,522,5,308,87390
104,521,4,291,87409
105,521,3,264,87437
106,520,4,245,87456
107,519,3,229,87474
108,519,1,214,87491
109,519,1,197,87508
110,519,1,181,87524
111,518,2,170,87535
112,518,2,160,87545
113,518,2,149,87556
114,518,1,139,87567
115,518,1,124,87582
116,518,0,112,87595
117,518,0,97,87610
118,518,0,96,87611
119,518,0,85,87622
