Step,Susceptible,Exposed,Infected,Recovered
0,88180,40,5,0
1,88135,72,18,0
2,87898,294,33,0
3,87754,371,97,3
4,87563,498,153,11
5,87458,507,232,28
6,87086,778,309,52
7,86470,1229,452,74
8,85116,2342,645,122
9,82949,4063,1021,192
10,80155,6038,1733,299
11,76196,8768,2800,461
12,72127,11077,4301,720
13,67810,13250,6076,1089
14,63705,14670,8199,1651
15,59448,15992,10356,2429
16,54795,17359,12748,3323
17,49489,19141,15131,4464
18,43666,21111,17666,5782
19,37524,22956,20297,7448
20,31319,24707,22957,9242
21,25561,25456,25889,11319
22,20369,25542,28674,13640
23,15990,25004,31081,16150
24,12352,23727,33251,18895
25,9411,21909,35071,21834
26,7099,19759,36373,24994
27,5420,17473,37093,28239
28,4139,15262,37308,31516
29,3215,13120,36963,34927
30,2505,11217,36275,38228
31,1954,9542,35243,41486
32,1525,8043,34021,44636
33,1240,6777,32422,47786
34,999,5635,30902,50689
35,814,4674,29263,53474
36,676,3859,27554,56136
37,575,3182,25846,58622
38,485,2635,24188,60917
39,415,2156,22619,63035
40,364,1792,21062,65007
41,322,1465,19571,66867
42,289,1225,18103,68608
43,250,1013,16713,70249
44,230,817,15397,71781
45,210,696,14127,73192
46,195,563,13025,74442
47,182,461,11955,75627
48,170,388,10920,76747
49,157,333,10020,77715
50,149,273,9138,78665
51,143,228,8346,79508
52,138,185,7643,80259
53,133,148,7020,80924
54,129,117,6459,81520
55,122,97,5953,82053
56,120,79,5425,82601
57,114,72,4985,83054
58,107,70,4544,83504
59,106,57,4129,83933
60,106,44,3739,84336
61,103,42,3400,84680
62,102,37,3094,84992
63,101,34,2821,85269
64,98,29,2571,85527
65,97,25,2353,85750
66,95,23,2153,85954
67,93,17,1976,86139
68,91,15,1809,86310
69,88,16,1638,86483
70,88,12,1476,86649
71,87,9,1342,86787
72,86,9,1234,86896
73,86,9,1109,87021
74,86,8,1005,87126
75,85,5,919,87216
76,85,4,851,87285
77,85,4,772,87364
78,85,4,710,87426
79,84,4,634,87503
80,83,4,551,87587
81,83,4,491,87647
82,82,3,453,87687
83,82,3,408,87732
84,82,2,369,87772
85,82,1,338,87804
86,82,1,307,87835
87,82,1,279,87863
88,82,1,253,87889
89,82,1,232,87910
90,82,1,211,87931
91,82,0,200,87943
92,82,0,181,87962
93,82,0,161,87982
94,82,0,148,87995
95,82,0,127,88016
96,82,0,119,88024
97,82,0,107,88036
98,82,0,98,88045
99,82,0,89,88054
100,82,0,80,88063
101,82,0,77,88066
102,82,0,70,88073
103,82,0,64,88079
104,82,0,56,88087
105,82,0,54,88089
106,82,0,52,88091
107,82,0,50,88093
108,82,0,48,88095
109,82,0,43,88100
110,82,0,40,88103
111,82,0,34,88109
112,82,0,33,88110
113,82,0,30,88113
114,82,0,27,88116
115,82,0,25,88118
116,82,0,21,88122
117,82,0,19,88124
118,82,0,16,88127
119,82,0,13,88130
