Step,Susceptible,Exposed,Infected,Recovered
0,88159,61,4,1
1,88131,71,22,1
2,87853,333,33,6
3,87679,432,101,13
4,87508,499,190,28
5,87173,714,292,46
6,86482,1237,428,78
7,84944,2459,703,119
8,82319,4477,1213,216
9,78242,7501,2127,355
10,73830,10102,3651,642
11,69161,12314,5648,1102
12,64820,13698,7948,1759
13,60025,15173,10324,2703
14,54735,16885,12682,3923
15,48679,18892,15225,5429
16,42162,20906,17901,7256
17,35453,22549,20823,9400
18,28779,23779,23722,11945
19,22773,24055,26521,14876
20,17664,23409,29201,17951
21,13367,21968,31418,21472
22,10020,20001,32994,25210
23,7451,17791,33774,29209
24,5616,15489,33858,33262
25,4249,13098,33475,37403
26,3206,11147,32477,41395
27,2475,9209,31281,45260
28,1942,7513,29676,49094
29,1557,6113,27912,52643
30,1276,4929,25922,56098
31,1038,3967,23924,59296
32,877,3149,22024,62175
33,760,2551,20161,64753
34,670,2006,18400,67149
35,585,1609,16633,69398
36,517,1283,15027,71398
37,470,1052,13486,73217
38,429,833,12160,74803
39,398,680,10885,76262
40,375,542,9753,77555
41,352,442,8669,78762
42,328,356,7672,79869
43,312,292,6861,80760
44,299,228,6056,81642
45,289,184,5369,82383
46,277,155,4783,83010
47,271,124,4251,83579
48,265,107,3794,84059
49,255,101,3359,84510
50,249,89,2938,84949
51,245,72,2588,85320
52,238,67,2270,85650
53,236,56,2010,85923
54,232,45,1781,86167
55,230,35,1554,86406
56,228,30,1373,86594
57,223,25,1224,86753
58,222,24,1080,86899
59,220,19,948,87038
60,219,14,849,87143
61,219,12,752,87242
62,219,8,664,87334
63,218,8,578,87421
64,218,6,498,87503
65,218,6,438,87563
66,218,5,378,87624
67,217,5,340,87663
68,217,4,300,87704
69,217,3,264,87741
70,217,0,246,87762
71,217,0,219,87789
72,217,0,194,87814
73,217,0,173,87835
74,217,0,155,87853
75,216,1,141,87867
76,215,1,123,87886
77,215,1,111,87898
78,215,1,102,87907
79,214,2,93,87916
80,214,1,84,87926
81,214,1,72,87938
82,214,1,63,87947
83,214,1,54,87956
84,214,1,50,87960
85,214,1,47,87963
86,214,1,40,87970
87,214,1,36,87974
88,214,1,34,87976
89,214,1,28,87982
90,214,1,22,87988
91,214,1,20,87990
92,214,1,16,87994
93,214,1,14,87996
94,214,0,13,87998
95,214,0,11,88000
96,214,0,9,88002
97,214,0,8,88003
98,214,0,7,88004
99,214,0,6,88005
100,214,0,6,88005
101,214,0,4,88007
102,214,0,2,88009
103,214,0,2,88009
104,214,0,2,88009
105,214,0,2,88009
106,214,0,2,88009
107,214,0,2,88009
108,214,0,1,88010
109,214,0,1,88010
110,214,0,1,88010
111,214,0,0,88011
112,214,0,0,88011
113,214,0,0,88011
114,214,0,0,88011
115,214,0,0,88011
116,214,0,0,88011
117,214,0,0,88011
118,214,0,0,88011
119,214,0,0,88011
