Step,Susceptible,Exposed,Infected,Recovered
0,88163,57,5,0
1,88121,84,20,0
2,87911,275,34,5
3,87715,418,86,6
4,87588,447,172,18
5,87410,536,251,28
6,86983,856,333,53
7,86236,1441,467,81
8,84506,2878,726,115
9,81953,4861,1248,163
10,78363,7453,2141,268
11,74214,10118,3462,431
12,69966,12242,5305,712
13,65687,14056,7372,1110
14,61536,15453,9523,1713
15,57075,16803,11878,2469
16,51808,18743,14256,3418
17,46099,20738,16858,4530
18,40051,22634,19616,5924
19,33716,24507,22515,7487
20,27594,25784,25599,9248
21,22081,26119,28713,11312
22,17297,25719,31592,13617
23,13280,24607,34115,16223
24,10100,22791,36329,19005
25,7659,20646,37928,21992
26,5781,18452,38891,25101
27,4364,16220,39475,28166
28,3289,14051,39580,31305
29,2504,12034,39277,34410
30,1954,10232,38485,37554
31,1523,8545,37498,40659
32,1198,7179,36293,43555
33,954,5932,34875,46464
34,763,4903,33287,49272
35,622,4061,31639,51903
36,515,3345,29971,54394
37,438,2744,28253,56790
38,377,2276,26486,59086
39,326,1861,24881,61157
40,276,1514,23274,63161
41,246,1247,21728,65004
42,207,1048,20220,66750
43,189,855,18804,68377
44,172,703,17433,69917
45,155,588,16170,71312
46,142,503,15007,72573
47,131,407,13887,73800
48,119,336,12760,75010
49,109,279,11854,75983
50,102,238,10983,76902
51,95,196,10162,77772
52,87,159,9418,78561
53,83,127,8703,79312
54,80,100,8054,79991
55,75,89,7422,80639
56,73,73,6855,81224
57,69,61,6323,81772
58,68,54,5806,82297
59,66,46,5379,82734
60,66,31,4976,83152
61,65,27,4551,83582
62,61,27,4194,83943
63,61,22,3855,84287
64,59,20,3560,84586
65,58,17,3267,84883
66,55,16,3008,85146
67,55,15,2781,85374
68,54,13,2551,85607
69,54,11,2348,85812
70,54,10,2165,85996
71,54,8,1981,86182
72,54,7,1818,86346
73,51,10,1683,86481
74,51,6,1536,86632
75,49,7,1425,86744
76,49,3,1307,86866
77,49,3,1199,86974
78,49,3,1107,87066
79,49,2,1029,87145
80,49,0,934,87242
81,49,0,866,87310
82,49,0,797,87379
83,49,0,744,87432
84,46,3,688,87488
85,46,1,652,87526
86,45,2,598,87580
87,45,0,557,87623
88,45,0,520,87660
89,45,0,472,87708
90,45,0,423,87757
91,45,0,391,87789
92,45,0,365,87815
93,44,1,337,87843
94,44,0,311,87870
95,44,0,281,87900
96,44,0,267,87914
97,44,0,247,87934
98,44,0,221,87960
99,44,0,204,87977
100,44,0,192,87989
101,44,0,180,88001
102,44,0,163,88018
103,44,0,151,88030
104,44,0,138,88043
105,44,0,124,88057
106,44,0,114,88067
107,44,0,104,88077
108,44,0,96,88085
109,44,0,91,88090
110,44,0,83,88098
111,44,0,75,88106
112,44,0,68,88113
113,44,0,61,88120
114,44,0,55,88126
115,44,0,51,88130
116,44,0,46,88135
117,44,0,41,88140
118,44,0,39,88142
119,44,0,33,88148
