Step,Susceptible,Exposed,Infected,Recovered
0,88185,35,4,1
1,88174,39,11,1
2,88074,133,15,3
3,87969,214,35,7
4,87771,373,70,11
5,87639,440,130,16
6,87553,458,189,25
7,87368,568,242,47
8,87078,764,306,77
9,86564,1140,410,111
10,85329,2173,584,139
11,83462,3646,917,200
12,80686,5794,1445,300
13,77511,7913,2356,445
14,73918,10081,3563,663
15,70628,11552,5029,1016
16,67442,12591,6655,1537
17,64284,13600,8181,2160
18,61221,14153,9885,2966
19,57658,15190,11373,4004
20,53701,16363,13062,5099
21,49518,17644,14723,6340
22,45086,18965,16428,7746
23,40373,20230,18191,9431
24,35618,21349,19905,11353
25,31175,21965,21774,13311
26,26854,22347,23546,15478
27,22807,22332,25272,17814
28,19250,21913,26728,20334
29,16136,21046,28124,22919
30,13478,19963,29125,25659
31,11244,18673,29747,28561
32,9449,17043,30201,31532
33,7938,15384,30328,34575
34,6669,13817,30158,37581
35,5620,12375,29625,40605
36,4755,10964,29066,43440
37,4107,9605,28213,46300
38,3562,8411,27180,49072
39,3071,7420,25960,51774
40,2672,6447,24671,54435
41,2343,5645,23309,56928
42,2108,4826,21966,59325
43,1884,4147,20637,61557
44,1703,3566,19348,63608
45,1566,3086,18000,65573
46,1437,2675,16775,67338
47,1339,2316,15562,69008
48,1254,1966,14472,70533
49,1167,1731,13329,71998
50,1088,1481,12357,73299
51,1020,1288,11367,74550
52,968,1104,10476,75677
53,913,958,9675,76679
54,872,825,8904,77624
55,836,706,8161,78522
56,795,615,7500,79315
57,773,539,6834,80079
58,756,457,6241,80771
59,729,393,5677,81426
60,711,348,5180,81986
61,691,296,4720,82518
62,678,257,4282,83008
63,668,221,3918,83418
64,660,187,3562,83816
65,643,169,3246,84167
66,633,152,2961,84479
67,629,125,2674,84797
68,621,113,2432,85059
69,616,100,2212,85297
70,614,82,2017,85512
71,604,81,1851,85689
72,598,76,1670,85881
73,596,65,1528,86036
74,592,57,1377,86199
75,587,51,1256,86331
76,585,43,1151,86446
77,583,40,1048,86554
78,581,34,955,86655
79,580,31,867,86747
80,577,27,797,86824
81,575,25,715,86910
82,572,24,642,86987
83,571,22,593,87039
84,570,19,531,87105
85,570,17,473,87165
86,568,15,429,87213
87,568,13,399,87245
88,568,11,356,87290
89,566,12,314,87333
90,565,12,287,87361
91,564,10,260,87391
92,564,9,234,87418
93,563,9,214,87439
94,563,6,190,87466
95,562,6,170,87487
96,562,4,153,87506
97,562,2,141,87520
98,562,2,123,87538
99,562,1,111,87551
100,562,1,103,87559
101,562,1,96,87566
102,562,1,88,87574
103,562,0,83,87580
104,562,0,78,87585
105,562,0,71,87592
106,562,0,63,87600
107,561,1,56,87607
108,561,1,54,87609
109,561,1,52,87611
110,561,0,44,87620
111,561,0,40,87624
112,561,0,37,87627
113,561,0,32,87632
114,561,0,31,87633
115,561,0,30,87634
116,561,0,27,87637
117,561,0,27,87637
118,561,0,24,87640
119,561,0,23,87641
