Step,Susceptible,Exposed,Infected,Recovered
0,88173,47,5,0
1,88122,86,17,0
2,87927,264,32,2
3,87741,378,99,7
4,87568,457,186,14
5,87299,617,273,36
6,86840,942,379,64
7,85639,1936,549,101
8,83021,4091,948,165
9,79269,6846,1843,267
10,74278,10193,3289,465
11,69688,12349,5329,859
12,65347,13778,7689,1411
13,60543,15322,10078,2282
14,55319,16805,12694,3407
15,49220,18779,15376,4850
16,42572,20947,18271,6435
17,35620,22764,21461,8380
18,28822,24072,24648,10683
19,22674,24348,27810,13393
20,17199,23892,30656,16478
21,12800,22574,32942,19909
22,9408,20612,34643,23562
23,6923,18150,35920,27232
24,5175,15676,36280,31094
25,3870,13176,36004,35175
26,2881,10981,35280,39083
27,2208,8962,34196,42859
28,1715,7258,32626,46626
29,1335,5906,30833,50151
30,1083,4700,28823,53619
31,879,3790,26821,56735
32,746,2961,24773,59745
33,616,2394,22818,62397
34,531,1890,20881,64923
35,457,1502,19098,67168
36,397,1194,17412,69222
37,360,947,15762,71156
38,335,734,14263,72893
39,302,599,12875,74449
40,292,468,11617,75848
41,274,353,10434,77164
42,253,277,9301,78394
43,240,231,8335,79419
44,230,184,7515,80296
45,220,153,6708,81144
46,207,127,6018,81873
47,201,103,5390,82531
48,194,86,4861,83084
49,187,73,4347,83618
50,184,54,3877,84110
51,179,46,3459,84541
52,175,37,3082,84931
53,171,31,2779,85244
54,168,29,2476,85552
55,165,29,2204,85827
56,164,27,1930,86104
57,163,23,1733,86306
58,162,18,1529,86516
59,162,11,1379,86673
60,161,9,1228,86827
61,160,7,1102,86956
62,159,5,971,87090
63,158,5,862,87200
64,156,5,792,87272
65,155,4,693,87373
66,154,4,601,87466
67,154,3,534,87534
68,154,3,481,87587
69,154,3,413,87655
70,154,1,375,87695
71,154,1,336,87734
72,154,1,297,87773
73,154,1,266,87804
74,154,0,238,87833
75,154,0,220,87851
76,154,0,191,87880
77,154,0,170,87901
78,154,0,151,87920
79,154,0,136,87935
80,154,0,120,87951
81,154,0,109,87962
82,153,1,96,87975
83,153,1,89,87982
84,153,1,78,87993
85,153,0,66,88006
86,153,0,56,88016
87,153,0,48,88024
88,153,0,43,88029
89,153,0,40,88032
90,153,0,36,88036
91,153,0,35,88037
92,153,0,28,88044
93,153,0,25,88047
94,153,0,23,88049
95,152,1,22,88050
96,152,1,19,88053
97,152,1,18,88054
98,152,1,16,88056
99,151,2,14,88058
100,151,2,12,88060
101,151,0,11,88063
102,151,0,10,88064
103,151,0,10,88064
104,151,0,9,88065
105,151,0,8,88066
106,151,0,8,88066
107,151,0,8,88066
108,151,0,7,88067
109,151,0,7,88067
110,151,0,7,88067
111,151,0,6,88068
112,151,0,6,88068
113,151,0,6,88068
114,151,0,6,88068
115,151,0,6,88068
116,151,0,5,88069
117,151,0,5,88069
118,151,0,4,88070
119,151,0,4,88070
