Step,Susceptible,Exposed,Infected,Recovered
0,88163,57,5,0
1,88121,83,21,0
2,87870,316,37,2
3,87638,465,115,7
4,87271,728,200,26
5,86821,1019,336,49
6,86000,1614,523,88
7,84774,2486,818,147
8,82677,4054,1238,256
9,79191,6690,1935,409
10,74970,9383,3243,629
11,69915,12320,4986,1004
12,65306,14313,6977,1629
13,60994,15515,9247,2469
14,56171,16844,11685,3525
15,50353,18988,14017,4867
16,44074,21036,16597,6518
17,37581,22940,19142,8562
18,30887,24578,21909,10851
19,24830,25233,24672,13490
20,19410,25113,27319,16383
21,14889,24149,29452,19735
22,11299,22309,31402,23215
23,8479,20178,32573,26995
24,6464,17778,33026,30957
25,4852,15485,32983,34905
26,3734,13230,32348,38913
27,2903,11118,31493,42711
28,2274,9347,30060,46544
29,1806,7737,28523,50159
30,1467,6347,26890,53521
31,1194,5258,25010,56763
32,993,4300,23186,59746
33,839,3513,21298,62575
34,727,2828,19538,65132
35,618,2301,17799,67507
36,541,1864,16237,69583
37,490,1501,14759,71475
38,451,1218,13394,73162
39,412,972,12043,74798
40,375,787,10812,76251
41,343,618,9757,77507
42,316,517,8725,78667
43,291,428,7823,79683
44,274,356,6947,80648
45,267,280,6223,81455
46,257,223,5546,82199
47,248,188,4953,82836
48,245,165,4391,83424
49,239,129,3890,83967
50,232,109,3428,84456
51,223,93,3054,84855
52,219,71,2704,85231
53,215,55,2406,85549
54,208,49,2123,85845
55,205,41,1894,86085
56,203,36,1667,86319
57,201,29,1488,86507
58,199,24,1341,86661
59,198,22,1180,86825
60,197,16,1045,86967
61,194,14,936,87081
62,194,14,826,87191
63,194,10,737,87284
64,194,8,620,87403
65,194,6,559,87466
66,194,3,498,87530
67,194,1,441,87589
68,193,2,394,87636
69,193,2,349,87681
70,191,4,321,87709
71,191,4,291,87739
72,190,3,264,87768
73,190,2,238,87795
74,190,1,208,87826
75,188,3,184,87850
76,188,1,162,87874
77,188,0,146,87891
78,188,0,128,87909
79,188,0,116,87921
80,188,0,99,87938
81,188,0,90,87947
82,188,0,84,87953
83,188,0,75,87962
84,188,0,64,87973
85,187,1,59,87978
86,187,0,54,87984
87,187,0,47,87991
88,187,0,45,87993
89,187,0,42,87996
90,187,0,40,87998
91,187,0,34,88004
92,186,1,32,88006
93,186,1,28,88010
94,186,1,23,88015
95,186,1,19,88019
96,186,1,17,88021
97,186,1,15,88023
98,186,1,14,88024
99,186,1,14,88024
100,186,1,12,88026
101,186,1,10,88028
102,186,1,9,88029
103,186,1,8,88030
104,186,1,8,88030
105,186,1,8,88030
106,186,0,6,88033
107,186,0,6,88033
108,186,0,5,88034
109,186,0,4,88035
110,186,0,4,88035
111,186,0,4,88035
112,186,0,3,88036
113,186,0,3,88036
114,186,0,3,88036
115,186,0,3,88036
116,186,0,3,88036
117,186,0,2,88037
118,186,0,2,88037
119,186,0,1,88038
