Step,Susceptible,Exposed,Infected,Recovered
0,88193,27,5,0
1,88169,43,12,1
2,88053,148,22,2
3,87908,264,47,6
4,87719,409,85,12
5,87528,527,148,22
6,87396,564,227,38
7,87113,740,303,69
8,86670,1045,398,112
9,85996,1523,545,161
10,84778,2473,737,237
11,83016,3794,1081,334
12,80583,5546,1629,467
13,77298,7842,2430,655
14,73962,9773,3559,931
15,70840,11191,4867,1327
16,68214,11817,6292,1902
17,65610,12278,7643,2694
18,62949,12740,8935,3601
19,60099,13319,10155,4652
20,57034,14059,11296,5836
21,53715,14776,12538,7196
22,50202,15537,13815,8671
23,46552,16377,14973,10323
24,42763,17169,16163,12130
25,38967,17846,17356,14056
26,35257,18331,18486,16151
27,31659,18586,19573,18407
28,28195,18678,20623,20729
29,25042,18540,21412,23231
30,22020,18201,22168,25836
31,19427,17528,22755,28515
32,17044,16750,23282,31149
33,14972,15861,23490,33902
34,13167,14749,23575,36734
35,11644,13611,23463,39507
36,10317,12475,23064,42369
37,9128,11466,22437,45194
38,8219,10360,21771,47875
39,7380,9277,21094,50474
40,6680,8185,20352,53008
41,6012,7387,19471,55355
42,5487,6601,18426,57711
43,5062,5852,17355,59956
44,4704,5114,16419,61988
45,4402,4513,15365,63945
46,4087,4062,14340,65736
47,3847,3600,13309,67469
48,3646,3128,12349,69102
49,3488,2735,11416,70586
50,3340,2370,10529,71986
51,3180,2084,9745,73216
52,3047,1828,8951,74399
53,2942,1602,8217,75464
54,2851,1395,7543,76436
55,2753,1236,6891,77345
56,2684,1081,6297,78163
57,2616,948,5741,78920
58,2552,845,5228,79600
59,2506,735,4770,80214
60,2463,648,4360,80754
61,2424,563,3942,81296
62,2373,509,3568,81775
63,2349,453,3191,82232
64,2322,401,2904,82598
65,2297,353,2649,82926
66,2276,300,2392,83257
67,2258,265,2185,83517
68,2237,233,1977,83778
69,2220,215,1777,84013
70,2207,196,1599,84223
71,2198,171,1443,84413
72,2190,146,1314,84575
73,2179,136,1170,84740
74,2171,123,1064,84867
75,2155,118,968,84984
76,2141,114,882,85088
77,2136,100,796,85193
78,2134,83,727,85281
79,2126,81,662,85356
80,2119,79,589,85438
81,2114,66,538,85507
82,2111,57,479,85578
83,2110,49,428,85638
84,2105,45,377,85698
85,2104,35,355,85731
86,2101,31,319,85774
87,2100,25,293,85807
88,2097,24,266,85838
89,2092,25,229,85879
90,2092,19,202,85912
91,2090,19,187,85929
92,2090,15,168,85952
93,2087,12,141,85985
94,2087,11,130,85997
95,2087,8,118,86012
96,2087,8,100,86030
97,2085,6,94,86040
98,2084,5,88,86048
99,2084,4,77,86060
100,2082,6,67,86070
101,2082,5,58,86080
102,2081,4,49,86091
103,2080,5,43,86097
104,2078,6,39,86102
105,2078,6,31,86110
106,2078,6,26,86115
107,2078,5,25,86117
108,2078,5,23,86119
109,2078,4,20,86123
110,2078,4,18,86125
111,2078,4,16,86127
112,2077,5,13,86130
113,2077,2,15,86131
114,2077,1,16,86131
115,2077,1,13,86134
116,2077,0,14,86134
117,2077,0,12,86136
118,2077,0,10,86138
119,2077,0,7,86141
