Step,Susceptible,Exposed,Infected,Recovered
0,88189,31,5,0
1,88167,51,6,1
2,88115,88,21,1
3,87942,242,38,3
4,87745,387,88,5
5,87605,450,156,14
6,87431,522,239,33
7,87139,695,331,60
8,86653,1024,448,100
9,85700,1754,613,158
10,84078,2999,908,240
11,81677,4751,1459,338
12,78658,6687,2368,512
13,75356,8513,3610,746
14,71928,10061,5079,1157
15,68650,11100,6789,1686
16,65515,11817,8475,2418
17,62724,11992,10144,3365
18,59653,12384,11745,4443
19,56186,13117,13150,5772
20,52438,13895,14608,7284
21,48459,14781,16040,8945
22,44394,15622,17501,10708
23,40264,16339,18935,12687
24,36024,16954,20459,14788
25,31964,17187,22037,17037
26,28203,17220,23318,19484
27,24612,17059,24483,22071
28,21278,16714,25384,24849
29,18433,15772,26432,27588
30,15901,14888,26908,30528
31,13722,13744,27320,33439
32,11922,12495,27319,36489
33,10379,11209,27139,39498
34,9034,10022,26708,42461
35,7893,8962,25906,45464
36,6986,7921,25013,48305
37,6212,6958,23973,51082
38,5560,6078,22912,53675
39,5020,5304,21708,56193
40,4591,4592,20504,58538
41,4215,3956,19293,60761
42,3851,3473,18006,62895
43,3583,2977,16812,64853
44,3352,2542,15639,66692
45,3168,2127,14533,68397
46,2994,1820,13426,69985
47,2819,1606,12332,71468
48,2671,1391,11393,72770
49,2544,1203,10492,73986
50,2427,1062,9582,75154
51,2339,910,8829,76147
52,2260,789,8062,77114
53,2188,692,7319,78026
54,2129,598,6667,78831
55,2062,529,6099,79535
56,2020,453,5536,80216
57,1982,382,5049,80812
58,1941,346,4608,81330
59,1903,309,4146,81867
60,1875,263,3779,82308
61,1847,231,3426,82721
62,1818,209,3113,83085
63,1799,181,2818,83427
64,1781,170,2544,83730
65,1770,141,2280,84034
66,1754,127,2083,84261
67,1741,108,1910,84466
68,1733,92,1757,84643
69,1723,88,1580,84834
70,1711,79,1447,84988
71,1701,69,1300,85155
72,1694,60,1181,85290
73,1684,53,1066,85422
74,1679,42,957,85547
75,1668,48,857,85652
76,1662,46,768,85749
77,1660,39,711,85815
78,1654,38,638,85895
79,1648,40,564,85973
80,1643,37,510,86035
81,1641,31,454,86099
82,1640,29,403,86153
83,1637,25,364,86199
84,1636,23,324,86242
85,1633,18,295,86279
86,1632,14,257,86322
87,1630,13,230,86352
88,1627,12,215,86371
89,1624,10,194,86397
90,1621,12,169,86423
91,1621,10,153,86441
92,1621,7,141,86456
93,1620,7,130,86468
94,1620,7,111,86487
95,1620,5,100,86500
96,1620,5,90,86510
97,1618,7,81,86519
98,1618,4,76,86527
99,1618,4,71,86532
100,1618,4,60,86543
101,1615,7,53,86550
102,1614,8,46,86557
103,1614,7,42,86562
104,1614,6,40,86565
105,1614,6,35,86570
106,1613,7,30,86575
107,1613,6,28,86578
108,1612,5,28,86580
109,1612,4,26,86583
110,1612,4,22,86587
111,1612,3,19,86591
112,1612,2,18,86593
113,1612,2,15,86596
114,1612,1,15,86597
115,1612,1,14,86598
116,1612,1,14,86598
117,1612,1,14,86598
118,1612,1,12,86600
119,1612,1,8,86604
