Step,Susceptible,Exposed,Infected,Recovered
0,88169,51,5,0
1,88124,82,19,0
2,87876,310,35,4
3,87670,465,84,6
4,87538,510,161,16
5,87304,635,259,27
6,86786,1019,375,45
7,85829,1750,558,88
8,83801,3360,923,141
9,80086,6316,1581,242
10,75954,9082,2784,405
11,71115,11953,4421,736
12,66673,13753,6525,1274
13,62401,14964,8856,2004
14,57684,16299,11263,2979
15,52127,18356,13461,4281
16,45967,20449,16075,5734
17,39388,22454,18833,7550
18,32765,24093,21681,9686
19,26434,25051,24698,12042
20,20735,25210,27520,14760
21,15859,24560,30014,17792
22,11940,22924,32360,21001
23,8913,20931,33770,24611
24,6619,18704,34548,28354
25,4966,16279,34797,32183
26,3743,13902,34529,36051
27,2836,11686,33909,39794
28,2226,9736,32705,43558
29,1754,8099,31248,47124
30,1372,6664,29639,50550
31,1093,5486,27757,53889
32,907,4484,25913,56921
33,737,3670,24021,59797
34,633,2983,22211,62398
35,546,2418,20483,64778
36,477,1917,18719,67112
37,425,1551,17110,69139
38,384,1260,15571,71010
39,348,1022,14134,72721
40,315,800,12803,74307
41,288,660,11589,75688
42,271,535,10490,76929
43,251,426,9426,78122
44,230,348,8493,79154
45,219,288,7643,80075
46,209,243,6820,80953
47,200,192,6133,81700
48,192,154,5490,82389
49,183,134,4935,82973
50,182,111,4403,83529
51,179,85,3981,83980
52,169,75,3605,84376
53,165,64,3231,84765
54,163,55,2896,85111
55,160,41,2603,85421
56,157,36,2338,85694
57,156,29,2080,85960
58,153,26,1842,86204
59,150,25,1638,86412
60,149,22,1451,86603
61,148,17,1297,86763
62,147,14,1162,86902
63,146,13,1030,87036
64,146,11,925,87143
65,145,7,837,87236
66,144,4,731,87346
67,144,3,660,87418
68,143,4,575,87503
69,142,5,508,87570
70,142,4,464,87615
71,142,1,417,87665
72,142,0,369,87714
73,140,2,325,87758
74,140,2,285,87798
75,139,3,255,87828
76,136,6,219,87864
77,136,4,200,87885
78,136,3,180,87906
79,135,4,160,87926
80,135,4,138,87948
81,135,4,122,87964
82,135,4,111,87975
83,135,2,92,87996
84,135,2,83,88005
85,135,1,73,88016
86,135,0,69,88021
87,135,0,56,88034
88,135,0,51,88039
89,135,0,45,88045
90,135,0,42,88048
91,135,0,36,88054
92,135,0,30,88060
93,135,0,29,88061
94,135,0,27,88063
95,135,0,27,88063
96,135,0,21,88069
97,135,0,19,88071
98,135,0,15,88075
99,135,0,12,88078
100,135,0,12,88078
101,135,0,11,88079
102,135,0,11,88079
103,135,0,9,88081
104,135,0,8,88082
105,135,0,8,88082
106,135,0,8,88082
107,135,0,8,88082
108,135,0,7,88083
109,135,0,5,88085
110,135,0,4,88086
111,135,0,3,88087
112,135,0,3,88087
113,135,0,3,88087
114,135,0,3,88087
115,135,0,2,88088
116,135,0,2,88088
117,135,0,2,88088
118,135,0,2,88088
119,135,0,2,88088
