Step,Susceptible,Exposed,Infected,Recovered
0,88175,45,5,0
1,88127,79,18,1
2,87922,273,28,2
3,87740,390,90,5
4,87416,616,178,15
5,87150,713,328,34
6,86464,1229,475,57
7,85535,1859,726,105
8,83820,3133,1094,178
9,81101,5100,1742,282
10,77569,7417,2801,438
11,73288,9881,4374,682
12,68617,12189,6338,1081
13,64653,13288,8614,1670
14,60676,14044,11062,2443
15,56095,15376,13302,3452
16,51039,16808,15753,4625
17,45304,18574,18314,6033
18,39331,20073,21149,7672
19,33407,21106,24146,9566
20,27694,21672,27115,11744
21,22368,21754,29780,14323
22,17814,21228,32066,17117
23,14010,19792,34531,19892
24,10911,18176,36164,22974
25,8430,16301,37195,26299
26,6622,14287,37617,29699
27,5184,12219,37768,33054
28,4095,10343,37249,36538
29,3288,8665,36309,39963
30,2631,7213,35230,43151
31,2150,6056,33783,46236
32,1755,4993,32232,49245
33,1492,4038,30533,52162
34,1261,3323,28721,54920
35,1082,2760,26783,57600
36,911,2266,24995,60053
37,798,1834,23253,62340
38,709,1460,21641,64415
39,639,1175,20074,66337
40,586,950,18567,68122
41,545,749,17155,69776
42,495,637,15807,71286
43,446,561,14522,72696
44,409,460,13318,74038
45,382,379,12207,75257
46,357,307,11199,76362
47,342,249,10300,77334
48,327,205,9388,78305
49,311,172,8578,79164
50,295,144,7898,79888
51,284,125,7221,80595
52,272,108,6608,81237
53,261,84,6040,81840
54,255,77,5498,82395
55,247,69,5020,82889
56,243,56,4598,83328
57,236,52,4226,83711
58,231,48,3881,84065
59,226,44,3553,84402
60,222,33,3236,84734
61,219,26,2949,85031
62,218,22,2695,85290
63,214,23,2470,85518
64,211,21,2255,85738
65,210,20,2034,85961
66,208,21,1839,86157
67,207,19,1683,86316
68,204,18,1545,86458
69,204,13,1418,86590
70,204,11,1276,86734
71,203,9,1163,86850
72,201,9,1052,86963
73,200,8,945,87072
74,200,5,870,87150
75,200,3,796,87226
76,199,4,713,87309
77,197,6,655,87367
78,196,5,595,87429
79,196,2,540,87487
80,196,2,495,87532
81,195,3,456,87571
82,195,2,418,87610
83,194,3,391,87637
84,193,3,364,87665
85,193,1,338,87693
86,193,1,309,87722
87,193,1,277,87754
88,192,2,239,87792
89,192,2,214,87817
90,192,2,194,87837
91,192,2,182,87849
92,192,1,165,87867
93,192,0,152,87881
94,192,0,142,87891
95,192,0,130,87903
96,191,1,119,87914
97,191,1,111,87922
98,191,1,99,87934
99,191,1,85,87948
100,191,0,84,87950
101,191,0,75,87959
102,191,0,64,87970
103,191,0,54,87980
104,191,0,50,87984
105,191,0,47,87987
106,191,0,44,87990
107,191,0,39,87995
108,191,0,36,87998
109,191,0,35,87999
110,191,0,32,88002
111,191,0,29,88005
112,191,0,26,88008
113,191,0,24,88010
114,191,0,21,88013
115,191,0,19,88015
116,191,0,18,88016
117,191,0,16,88018
118,191,0,11,88023
119,191,0,11,88023
