Step,Susceptible,Exposed,Infected,Recovered
0,88168,52,5,0
1,88125,81,19,0
2,87918,268,36,3
3,87708,422,90,5
4,87504,534,174,13
5,87268,650,281,26
6,86508,1272,390,55
7,85293,2198,642,92
8,82936,4033,1105,151
9,79473,6576,1913,263
10,75162,9428,3203,432
11,70554,11925,5020,726
12,66437,13444,7169,1175
13,62364,14540,9518,1803
14,57839,15865,11859,2662
15,52638,17568,14303,3716
16,46806,19591,16806,5022
17,40611,21493,19568,6553
18,34325,22941,22570,8389
19,28277,23888,25641,10419
20,22651,24306,28597,12671
21,17668,23969,31285,15303
22,13555,22927,33632,18111
23,10299,21231,35554,21141
24,7824,19042,37002,24357
25,5890,16815,37901,27619
26,4490,14513,38190,31032
27,3492,12284,37927,34522
28,2636,10375,37262,37952
29,2070,8580,36215,41360
30,1633,7130,34901,44561
31,1298,6007,33278,47642
32,1037,4941,31645,50602
33,845,4060,29897,53423
34,709,3340,28055,56121
35,594,2734,26276,58621
36,505,2247,24420,61053
37,430,1804,22697,63294
38,382,1454,21078,65311
39,335,1167,19535,67188
40,307,933,18063,68922
41,282,725,16674,70544
42,254,580,15341,72050
43,233,454,14066,73472
44,216,383,12872,74754
45,198,323,11816,75888
46,188,259,10801,76977
47,177,206,9906,77936
48,168,171,9047,78839
49,163,143,8280,79639
50,159,127,7561,80378
51,153,105,6943,81024
52,144,90,6379,81612
53,136,71,5833,82185
54,131,58,5341,82695
55,128,52,4875,83170
56,124,42,4439,83620
57,122,35,4055,84013
58,120,27,3683,84395
59,116,26,3371,84712
60,116,16,3061,85032
61,114,16,2807,85288
62,114,12,2540,85559
63,114,8,2295,85808
64,113,7,2088,86017
65,112,7,1901,86205
66,110,6,1724,86385
67,110,4,1594,86517
68,110,4,1453,86658
69,109,3,1316,86797
70,108,4,1183,86930
71,108,4,1067,87046
72,106,5,981,87133
73,105,5,896,87219
74,105,3,821,87296
75,105,2,763,87355
76,105,1,689,87430
77,105,1,631,87488
78,105,1,571,87548
79,105,0,522,87598
80,105,0,472,87648
81,104,1,430,87690
82,104,1,384,87736
83,104,1,360,87760
84,103,1,332,87789
85,103,0,297,87825
86,103,0,264,87858
87,103,0,242,87880
88,103,0,224,87898
89,103,0,207,87915
90,103,0,189,87933
91,103,0,171,87951
92,103,0,154,87968
93,103,0,143,87979
94,103,0,130,87992
95,103,0,122,88000
96,103,0,116,88006
97,102,1,106,88016
98,102,1,94,88028
99,102,1,84,88038
100,102,1,71,88051
101,102,0,62,88061
102,102,0,56,88067
103,102,0,50,88073
104,102,0,45,88078
105,102,0,41,88082
106,102,0,38,88085
107,102,0,34,88089
108,102,0,32,88091
109,102,0,32,88091
110,102,0,30,88093
111,102,0,29,88094
112,102,0,26,88097
113,102,0,24,88099
114,102,0,20,88103
115,102,0,18,88105
116,102,0,17,88106
117,102,0,16,88107
118,102,0,16,88107
119,102,0,14,88109
