Step,Susceptible,Exposed,Infected,Recovered
0,88197,23,4,1
1,88177,37,10,1
2,88090,118,16,1
3,87979,201,44,1
4,87784,351,83,7
5,87628,425,161,11
6,87498,449,250,28
7,87272,581,322,50
8,86842,875,426,82
9,86005,1494,605,121
10,84556,2592,908,169
11,82332,4244,1386,263
12,79458,6110,2273,384
13,75834,8196,3605,590
14,72137,9954,5224,910
15,68860,10821,7183,1361
16,65662,11455,9055,2053
17,62490,11904,10980,2851
18,59070,12411,12885,3859
19,55324,13178,14642,5081
20,51145,14231,16503,6346
21,46800,15139,18425,7861
22,42138,16142,20390,9555
23,37453,17021,22330,11421
24,32901,17555,24385,13384
25,28548,17700,26443,15534
26,24550,17465,28242,17968
27,20886,16917,29915,20507
28,17680,16041,31337,23167
29,14911,14934,32514,25866
30,12608,13640,33181,28796
31,10612,12362,33414,31837
32,8983,11075,33232,34935
33,7657,9736,32849,37983
34,6598,8488,32199,40940
35,5669,7361,31359,43836
36,4926,6363,30286,46650
37,4298,5494,29139,49294
38,3813,4674,27841,51897
39,3377,4005,26468,54375
40,3065,3310,25105,56745
41,2778,2841,23611,58995
42,2524,2430,22153,61118
43,2309,2032,20779,63105
44,2115,1696,19433,64981
45,1950,1472,18078,66725
46,1824,1244,16788,68369
47,1727,1057,15509,69932
48,1635,921,14339,71330
49,1546,818,13199,72662
50,1480,700,12192,73853
51,1412,617,11215,74981
52,1352,551,10327,75995
53,1298,472,9541,76914
54,1260,383,8819,77763
55,1222,333,8122,78548
56,1195,290,7509,79231
57,1168,250,6913,79894
58,1144,214,6316,80551
59,1117,198,5835,81075
60,1088,182,5369,81586
61,1064,159,4929,82073
62,1054,135,4548,82488
63,1036,120,4186,82883
64,1022,107,3798,83298
65,1009,102,3502,83612
66,998,87,3213,83927
67,990,74,2964,84197
68,978,65,2727,84455
69,969,53,2506,84697
70,959,50,2298,84918
71,950,51,2099,85125
72,944,50,1919,85312
73,938,42,1757,85488
74,931,40,1624,85630
75,923,38,1504,85760
76,921,32,1379,85893
77,914,30,1265,86016
78,910,29,1159,86127
79,906,24,1072,86223
80,904,20,972,86329
81,900,19,884,86422
82,895,23,797,86510
83,894,17,734,86580
84,894,15,671,86645
85,890,15,616,86704
86,882,18,580,86745
87,880,17,529,86799
88,879,10,504,86832
89,878,10,479,86858
90,877,7,432,86909
91,876,6,403,86940
92,875,6,365,86979
93,874,3,331,87017
94,874,3,301,87047
95,871,5,272,87077
96,870,6,239,87110
97,870,5,221,87129
98,869,6,202,87148
99,867,5,187,87166
100,866,5,171,87183
101,865,6,161,87193
102,865,5,134,87221
103,865,4,124,87232
104,865,3,120,87237
105,865,3,109,87248
106,864,2,101,87258
107,864,2,90,87269
108,864,2,82,87277
109,864,1,74,87286
110,864,1,68,87292
111,864,1,64,87296
112,864,0,59,87302
113,864,0,54,87307
114,864,0,49,87312
115,864,0,45,87316
116,864,0,43,87318
117,864,0,36,87325
118,864,0,33,87328
119,864,0,31,87330
