Step,Susceptible,Exposed,Infected,Recovered
0,88179,41,5,0
1,88152,56,17,0
2,87998,199,26,2
3,87802,355,63,5
4,87600,482,131,12
5,87408,570,222,25
6,87133,734,308,50
7,86612,1097,435,81
8,85791,1653,655,126
9,84131,2955,946,193
10,81588,4872,1480,285
11,78432,6968,2371,454
12,74653,9263,3593,716
13,70935,10999,5182,1109
14,67399,12089,7079,1658
15,63974,12877,8973,2401
16,60636,13403,10814,3372
17,56793,14362,12538,4532
18,52625,15306,14377,5917
19,47969,16505,16318,7433
20,43149,17741,18120,9215
21,38330,18705,20002,11188
22,33372,19585,21857,13411
23,28757,19895,23793,15780
24,24506,19749,25478,18492
25,20629,19258,27055,21283
26,17160,18433,28392,24240
27,14198,17374,29320,27333
28,11771,15956,29878,30620
29,9830,14350,30150,33895
30,8139,12792,30051,37243
31,6894,11200,29472,40659
32,5822,9762,28800,43841
33,4939,8528,27748,47010
34,4230,7424,26521,50050
35,3725,6297,25145,53058
36,3270,5355,23866,55734
37,2882,4522,22459,58362
38,2568,3883,20915,60859
39,2307,3316,19463,63139
40,2082,2814,18002,65327
41,1902,2377,16580,67366
42,1770,2005,15310,69140
43,1646,1702,14053,70824
44,1539,1433,12847,72406
45,1447,1219,11728,73831
46,1369,1031,10697,75128
47,1298,871,9714,76342
48,1244,720,8844,77417
49,1187,633,8021,78384
50,1155,534,7283,79253
51,1112,476,6594,80043
52,1064,428,5986,80747
53,1033,359,5428,81405
54,1007,319,4887,82012
55,981,280,4387,82577
56,961,234,3970,83060
57,942,201,3592,83490
58,929,164,3243,83889
59,911,136,2933,84245
60,897,124,2639,84565
61,886,109,2364,84866
62,876,94,2111,85144
63,870,86,1908,85361
64,861,79,1692,85593
65,857,65,1521,85782
66,853,53,1385,85934
67,842,50,1226,86107
68,837,46,1088,86254
69,832,39,970,86384
70,827,38,879,86481
71,823,35,785,86582
72,820,33,700,86672
73,817,28,621,86759
74,814,25,566,86820
75,814,16,512,86883
76,812,18,450,86945
77,811,13,401,87000
78,809,13,361,87042
79,809,10,327,87079
80,806,10,300,87109
81,805,7,265,87148
82,803,5,244,87173
83,803,4,216,87202
84,800,6,195,87224
85,799,5,174,87247
86,799,4,152,87270
87,799,3,134,87289
88,798,4,114,87309
89,798,2,107,87318
90,798,2,96,87329
91,798,1,84,87342
92,797,2,73,87353
93,797,2,68,87358
94,797,2,57,87369
95,797,2,49,87377
96,797,2,44,87382
97,797,1,39,87388
98,797,1,37,87390
99,797,1,34,87393
100,797,1,27,87400
101,797,1,24,87403
102,797,1,19,87408
103,797,0,17,87411
104,796,1,17,87411
105,796,1,15,87413
106,796,1,12,87416
107,796,0,10,87419
108,796,0,9,87420
109,796,0,9,87420
110,796,0,9,87420
111,796,0,6,87423
112,796,0,6,87423
113,796,0,6,87423
114,796,0,6,87423
115,796,0,5,87424
116,796,0,4,87425
117,796,0,3,87426
118,796,0,3,87426
119,796,0,3,87426
