Step,Susceptible,Exposed,Infected,Recovered
0,88178,42,5,0
1,88143,70,11,1
2,88023,181,19,2
3,87878,301,41,5
4,87697,425,95,8
5,87577,470,164,14
6,87400,590,208,27
7,87177,733,274,41
8,86599,1208,356,62
9,85661,1911,564,89
10,83678,3590,829,128
11,81097,5605,1311,212
12,77756,8047,2117,305
13,73982,10564,3207,472
14,70401,12498,4577,749
15,67026,13857,6246,1096
16,63618,15123,7852,1632
17,60099,16208,9703,2215
18,56175,17470,11592,2988
19,51760,19079,13445,3941
20,46952,20854,15411,5008
21,41853,22615,17505,6252
22,36752,24054,19759,7660
23,31565,25369,22067,9224
24,26673,26256,24334,10962
25,22072,26602,26661,12890
26,18034,26423,28827,14941
27,14568,25604,30772,17281
28,11704,24472,32288,19761
29,9371,22907,33635,22312
30,7444,21112,34717,24952
31,5970,19224,35391,27640
32,4745,17425,35649,30406
33,3806,15538,35708,33173
34,3022,13740,35545,35918
35,2454,12141,34886,38744
36,1998,10623,34054,41550
37,1617,9347,32905,44356
38,1343,8170,31721,46991
39,1135,7130,30379,49581
40,984,6118,29169,51954
41,841,5284,27826,54274
42,729,4559,26467,56470
43,616,3963,25077,58569
44,548,3437,23665,60575
45,478,2978,22255,62514
46,439,2538,20908,64340
47,389,2151,19710,65975
48,347,1850,18529,67499
49,306,1584,17341,68994
50,276,1368,16236,70345
51,255,1154,15174,71642
52,237,976,14169,72843
53,219,833,13174,73999
54,206,735,12241,75043
55,198,616,11425,75986
56,185,524,10645,76871
57,173,450,9899,77703
58,165,385,9155,78520
59,160,326,8440,79299
60,154,280,7838,79953
61,151,229,7239,80606
62,146,186,6746,81147
63,143,152,6238,81692
64,134,135,5749,82207
65,130,116,5323,82656
66,127,101,4857,83140
67,123,84,4513,83505
68,121,75,4164,83865
69,120,62,3820,84223
70,119,56,3504,84546
71,115,50,3257,84803
72,113,45,3001,85066
73,113,37,2763,85312
74,110,32,2567,85516
75,107,25,2391,85702
76,105,24,2219,85877
77,105,17,2036,86067
78,105,15,1882,86223
79,104,13,1725,86383
80,104,12,1588,86521
81,104,11,1464,86646
82,103,10,1361,86751
83,103,7,1256,86859
84,103,7,1156,86959
85,102,8,1055,87060
86,102,7,989,87127
87,101,8,909,87207
88,101,6,840,87278
89,101,4,769,87351
90,101,4,718,87402
91,101,2,656,87466
92,100,3,596,87526
93,100,3,550,87572
94,100,3,511,87611
95,100,3,477,87645
96,100,3,438,87684
97,100,1,412,87712
98,100,1,382,87742
99,100,1,346,87778
100,100,1,317,87807
101,100,1,295,87829
102,100,0,280,87845
103,100,0,266,87859
104,100,0,244,87881
105,100,0,226,87899
106,100,0,208,87917
107,100,0,189,87936
108,99,1,175,87950
109,99,1,159,87966
110,99,1,149,87976
111,99,1,135,87990
112,99,1,125,88000
113,99,1,117,88008
114,99,0,105,88021
115,99,0,97,88029
116,99,0,85,88041
117,99,0,78,88048
118,99,0,76,88050
119,99,0,74,88052
