Step,Susceptible,Exposed,Infected,Recovered
0,88187,33,4,1
1,88160,55,9,1
2,88043,155,24,3
3,87811,353,57,4
4,87615,481,119,10
5,87445,558,198,24
6,87136,735,306,48
7,86396,1317,442,70
8,85298,2134,672,121
9,83057,3880,1107,181
10,79700,6357,1869,299
11,75662,9046,3010,507
12,71290,11482,4658,795
13,66934,13322,6712,1257
14,62720,14606,9026,1873
15,58343,15764,11309,2809
16,53259,17320,13727,3919
17,47591,19231,16075,5328
18,41531,21214,18585,6895
19,35260,22809,21408,8748
20,29286,23821,24213,10905
21,23757,24175,26948,13345
22,18803,23796,29602,16024
23,14617,22774,31795,19039
24,11268,21104,33557,22296
25,8577,19053,34972,25623
26,6574,16892,35627,29132
27,5046,14709,35767,32703
28,3867,12696,35404,36258
29,3068,10587,34827,39743
30,2422,8935,33784,43084
31,1910,7470,32405,46440
32,1542,6160,30822,49701
33,1262,5075,29110,52778
34,1055,4191,27278,55701
35,886,3458,25460,58421
36,767,2807,23603,61048
37,656,2348,21779,63442
38,567,1950,20097,65611
39,502,1610,18442,67671
40,448,1303,16952,69522
41,411,1088,15467,71259
42,369,880,14148,72828
43,345,730,12896,74254
44,315,580,11771,75559
45,298,492,10709,76726
46,283,395,9740,77807
47,273,328,8950,78674
48,263,270,8110,79582
49,247,219,7373,80386
50,231,182,6706,81106
51,224,145,6088,81768
52,214,126,5508,82377
53,206,99,5014,82906
54,200,88,4522,83415
55,194,77,4084,83870
56,187,69,3706,84263
57,181,60,3371,84613
58,177,52,3063,84933
59,174,46,2761,85244
60,171,38,2485,85531
61,170,34,2254,85767
62,167,30,2010,86018
63,166,27,1818,86214
64,164,18,1637,86406
65,162,15,1482,86566
66,161,12,1344,86708
67,158,8,1202,86857
68,157,8,1090,86970
69,156,8,987,87074
70,156,6,881,87182
71,154,6,797,87268
72,154,6,741,87324
73,152,8,670,87395
74,152,6,596,87471
75,150,6,537,87532
76,150,5,482,87588
77,150,4,432,87639
78,150,4,388,87683
79,150,3,349,87723
80,150,1,317,87757
81,150,0,298,87777
82,150,0,261,87814
83,148,2,233,87842
84,148,2,204,87871
85,148,1,188,87888
86,148,0,163,87914
87,148,0,147,87930
88,148,0,131,87946
89,148,0,117,87960
90,148,0,104,87973
91,148,0,88,87989
92,148,0,83,87994
93,147,1,78,87999
94,147,1,70,88007
95,147,0,64,88014
96,147,0,58,88020
97,147,0,52,88026
98,147,0,51,88027
99,147,0,45,88033
100,147,0,40,88038
101,147,0,38,88040
102,147,0,35,88043
103,147,0,35,88043
104,147,0,32,88046
105,147,0,32,88046
106,147,0,30,88048
107,147,0,27,88051
108,147,0,24,88054
109,147,0,22,88056
110,147,0,21,88057
111,147,0,18,88060
112,147,0,17,88061
113,147,0,16,88062
114,147,0,14,88064
115,147,0,14,88064
116,147,0,13,88065
117,147,0,13,88065
118,147,0,12,88066
119,147,0,11,88067
