Step,Susceptible,Exposed,Infected,Recovered
0,88193,27,5,0
1,88154,62,8,1
2,88082,115,27,1
3,87851,321,46,7
4,87701,412,103,9
5,87547,490,163,25
6,87325,612,245,43
7,86853,942,362,68
8,85848,1747,525,105
9,84271,2989,796,169
10,82061,4578,1341,245
11,79161,6577,2106,381
12,75857,8594,3166,608
13,72155,10600,4534,936
14,68292,12359,6126,1448
15,65022,13175,7896,2132
16,61982,13573,9615,3055
17,58635,14167,11310,4113
18,54824,15076,12954,5371
19,50464,16455,14509,6797
20,46036,17533,16217,8439
21,41347,18695,17965,10218
22,36556,19658,19918,12093
23,31777,20436,21785,14227
24,27338,20798,23442,16647
25,23372,20634,24995,19224
26,19806,20133,26356,21930
27,16593,19379,27378,24875
28,13860,18225,28296,27844
29,11567,16879,28883,30896
30,9725,15358,29039,34103
31,8114,13922,28928,37261
32,6828,12393,28599,40405
33,5804,10957,27879,43585
34,4984,9638,26907,46696
35,4296,8410,25805,49714
36,3747,7274,24729,52475
37,3318,6335,23309,55263
38,2926,5429,22085,57785
39,2610,4665,20740,60210
40,2355,4029,19263,62578
41,2135,3403,17982,64705
42,1933,2943,16654,66695
43,1759,2505,15414,68547
44,1630,2132,14214,70249
45,1541,1807,13031,71846
46,1428,1565,11897,73335
47,1343,1358,10875,74649
48,1258,1187,9899,75881
49,1204,1018,9012,76991
50,1158,863,8244,77960
51,1124,718,7575,78808
52,1083,626,6841,79675
53,1039,543,6212,80431
54,1015,454,5626,81130
55,990,383,5097,81755
56,968,332,4571,82354
57,942,289,4155,82839
58,923,256,3714,83332
59,906,212,3378,83729
60,893,190,3030,84112
61,880,167,2736,84442
62,869,150,2482,84724
63,860,130,2253,84982
64,856,104,2039,85226
65,851,86,1844,85444
66,838,84,1688,85615
67,835,77,1523,85790
68,833,57,1388,85947
69,827,54,1260,86084
70,823,50,1145,86207
71,823,38,1022,86342
72,818,37,927,86443
73,817,29,838,86541
74,815,26,759,86625
75,815,18,690,86702
76,811,15,626,86773
77,811,13,560,86841
78,809,10,494,86912
79,808,9,440,86968
80,805,9,402,87009
81,802,8,363,87052
82,801,7,328,87089
83,800,6,296,87123
84,800,6,254,87165
85,800,5,224,87196
86,800,3,201,87221
87,800,2,186,87237
88,799,2,166,87258
89,799,1,146,87279
90,799,0,127,87299
91,799,0,115,87311
92,799,0,105,87321
93,799,0,85,87341
94,799,0,73,87353
95,799,0,63,87363
96,799,0,57,87369
97,799,0,51,87375
98,798,1,46,87380
99,798,1,41,87385
100,798,1,38,87388
101,798,1,31,87395
102,797,2,25,87401
103,797,1,25,87402
104,797,1,23,87404
105,797,0,21,87407
106,797,0,20,87408
107,797,0,17,87411
108,797,0,17,87411
109,797,0,15,87413
110,797,0,14,87414
111,797,0,12,87416
112,797,0,12,87416
113,797,0,10,87418
114,797,0,8,87420
115,797,0,8,87420
116,797,0,7,87421
117,797,0,5,87423
118,797,0,5,87423
119,797,0,4,87424
