Step,Susceptible,Exposed,Infected,Recovered
0,88180,40,5,0
1,88145,68,12,0
2,88032,169,23,1
3,87870,305,46,4
4,87673,449,96,7
5,87552,489,170,14
6,87343,606,251,25
7,86958,894,326,47
8,86224,1461,464,76
9,84815,2609,691,110
10,82596,4356,1117,156
11,79507,6669,1811,238
12,75646,9326,2865,388
13,71678,11584,4354,609
14,67698,13464,6116,947
15,64271,14502,8022,1430
16,60770,15422,9963,2070
17,56762,16655,11963,2845
18,52213,18135,14088,3789
19,47114,20051,16149,4911
20,41724,21827,18496,6178
21,36367,23237,20929,7692
22,30984,24438,23429,9374
23,25801,25356,25845,11223
24,21137,25474,28362,13252
25,17047,24885,30705,15588
26,13541,23892,32749,18043
27,10719,22392,34500,20614
28,8430,20665,35802,23328
29,6620,18798,36579,26228
30,5197,16803,37124,29101
31,4159,14818,37149,32099
32,3259,13042,36934,34990
33,2646,11261,36384,37934
34,2145,9742,35466,40872
35,1749,8380,34379,43717
36,1451,7156,33246,46372
37,1204,6140,31842,49039
38,1013,5239,30424,51549
39,844,4453,29056,53872
40,719,3769,27521,56216
41,612,3177,25897,58539
42,527,2729,24389,60580
43,461,2306,22996,62462
44,410,1953,21442,64420
45,370,1654,19987,66214
46,329,1395,18693,67808
47,298,1193,17418,69316
48,284,1001,16190,70750
49,254,885,15082,72004
50,231,751,14045,73198
51,215,642,13048,74320
52,204,538,12129,75354
53,194,443,11256,76332
54,186,374,10419,77246
55,179,312,9688,78046
56,168,273,8951,78833
57,159,242,8261,79563
58,152,201,7684,80188
59,146,170,7129,80780
60,141,140,6628,81316
61,136,109,6100,81880
62,133,89,5659,82344
63,129,76,5220,82800
64,124,64,4836,83201
65,118,60,4467,83580
66,116,56,4121,83932
67,114,50,3779,84282
68,112,41,3514,84558
69,112,31,3232,84850
70,112,25,2984,85104
71,111,22,2748,85344
72,111,18,2554,85542
73,110,16,2380,85719
74,109,14,2175,85927
75,106,14,2000,86105
76,105,12,1840,86268
77,104,13,1687,86421
78,102,14,1557,86552
79,101,12,1425,86687
80,100,12,1317,86796
81,100,10,1214,86901
82,99,7,1109,87010
83,99,5,1029,87092
84,99,4,961,87161
85,98,4,873,87250
86,98,4,797,87326
87,98,2,737,87388
88,98,2,685,87440
89,98,2,623,87502
90,98,1,580,87546
91,98,1,536,87590
92,98,1,496,87630
93,98,1,445,87681
94,98,1,414,87712
95,98,1,386,87740
96,98,1,363,87763
97,98,1,327,87799
98,98,1,302,87824
99,98,1,273,87853
100,98,1,250,87876
101,98,1,225,87901
102,98,1,203,87923
103,97,2,183,87943
104,97,1,165,87962
105,97,0,153,87975
106,97,0,140,87988
107,97,0,131,87997
108,97,0,121,88007
109,97,0,110,88018
110,97,0,93,88035
111,97,0,83,88045
112,97,0,74,88054
113,97,0,70,88058
114,97,0,65,88063
115,97,0,62,88066
116,97,0,60,88068
117,97,0,52,88076
118,97,0,45,88083
119,97,0,42,88086
