Step,Susceptible,Exposed,Infected,Recovered
0,88186,34,4,1
1,88155,60,8,2
2,88053,150,17,5
3,87907,277,34,7
4,87754,380,81,10
5,87617,463,131,14
6,87468,537,188,32
7,87300,625,246,54
8,86833,986,326,80
9,85866,1800,435,124
10,84510,2879,667,169
11,82202,4721,1083,219
12,79093,7077,1721,334
13,75764,9205,2744,512
14,72323,11136,4031,735
15,68802,12870,5466,1087
16,65410,14193,6982,1640
17,61934,15476,8479,2336
18,58268,16675,10121,3161
19,54301,18057,11682,4185
20,50010,19493,13361,5361
21,45271,21182,15098,6674
22,40470,22582,17093,8080
23,35497,23891,19053,9784
24,30461,25131,20909,11724
25,25871,25682,22874,13798
26,21690,25848,24663,16024
27,17998,25371,26323,18533
28,14813,24464,27837,21111
29,12052,23393,28895,23885
30,9837,21746,29964,26678
31,8041,20089,30442,29653
32,6511,18366,30639,32709
33,5326,16698,30493,35708
34,4390,14965,30142,38728
35,3674,13292,29464,41795
36,3066,11806,28671,44682
37,2569,10409,27666,47581
38,2166,9151,26541,50367
39,1877,8037,25332,52979
40,1631,7003,24071,55520
41,1421,6137,22737,57930
42,1247,5331,21447,60200
43,1106,4658,20137,62324
44,986,4049,18830,64360
45,902,3496,17554,66273
46,814,3050,16315,68046
47,744,2609,15198,69674
48,675,2258,14087,71205
49,632,1932,13102,72559
50,583,1683,12108,73851
51,542,1461,11152,75070
52,521,1257,10256,76191
53,486,1075,9451,77213
54,454,928,8697,78146
55,440,790,7966,79029
56,418,686,7260,79861
57,396,603,6687,80539
58,386,510,6076,81253
59,376,447,5577,81825
60,365,386,5054,82420
61,359,330,4609,82927
62,353,298,4187,83387
63,342,264,3783,83836
64,334,232,3450,84209
65,333,198,3137,84557
66,329,175,2854,84867
67,325,150,2589,85161
68,324,123,2341,85437
69,319,106,2120,85680
70,312,96,1937,85880
71,307,83,1782,86053
72,305,76,1599,86245
73,302,66,1449,86408
74,301,50,1331,86543
75,300,42,1195,86688
76,298,40,1069,86818
77,296,35,983,86911
78,294,31,898,87002
79,294,28,812,87091
80,290,28,735,87172
81,289,24,656,87256
82,288,22,595,87320
83,287,18,542,87378
84,287,14,494,87430
85,286,14,441,87484
86,286,13,396,87530
87,285,10,370,87560
88,284,11,319,87611
89,283,11,290,87641
90,282,12,262,87669
91,281,10,239,87695
92,281,7,224,87713
93,280,7,205,87733
94,278,8,187,87752
95,278,7,167,87773
96,278,5,154,87788
97,278,2,143,87802
98,278,2,123,87822
99,278,2,106,87839
100,278,2,94,87851
101,278,2,83,87862
102,277,3,73,87872
103,277,3,66,87879
104,277,2,62,87884
105,277,2,59,87887
106,277,2,52,87894
107,277,2,46,87900
108,276,2,43,87904
109,276,1,43,87905
110,276,1,40,87908
111,276,1,36,87912
112,276,0,34,87915
113,276,0,32,87917
114,276,0,30,87919
115,276,0,25,87924
116,276,0,22,87927
117,276,0,21,87928
118,276,0,17,87932
119,276,0,16,87933
