Step,Susceptible,Exposed,Infected,Recovered
0,88198,22,5,0
1,88169,42,14,0
2,88023,184,17,1
3,87863,316,45,1
4,87657,459,104,5
5,87483,562,165,15
6,87221,721,251,32
7,86895,937,323,70
8,86356,1298,468,103
9,85151,2277,637,160
10,83628,3372,983,242
11,81306,5086,1498,335
12,78251,7236,2229,509
13,74729,9492,3216,788
14,71325,11177,4548,1175
15,68082,12377,6074,1692
16,64856,13331,7628,2410
17,61669,14151,9052,3353
18,58418,14741,10646,4420
19,54722,15776,12069,5658
20,50788,16864,13461,7112
21,46609,18028,14794,8794
22,42325,19107,16158,10635
23,37916,20117,17548,12644
24,33720,20634,19139,14732
25,29529,21115,20619,16962
26,25532,21281,21956,19456
27,22082,20912,23229,22002
28,18898,20328,24158,24841
29,16071,19483,24844,27827
30,13725,18299,25307,30894
31,11680,17045,25516,33984
32,9992,15679,25450,37104
33,8580,14335,25144,40166
34,7429,12864,24730,43202
35,6457,11473,24067,46228
36,5592,10188,23300,49145
37,4912,9141,22311,51861
38,4389,7993,21216,54627
39,3900,7061,20032,57232
40,3501,6192,18924,59608
41,3161,5397,17834,61833
42,2890,4671,16726,63938
43,2675,4069,15550,65931
44,2497,3540,14321,67867
45,2303,3095,13245,69582
46,2166,2680,12213,71166
47,2031,2323,11264,72607
48,1923,1994,10339,73969
49,1843,1735,9348,75299
50,1767,1504,8482,76472
51,1679,1326,7695,77525
52,1621,1141,6995,78468
53,1571,976,6404,79274
54,1527,860,5777,80061
55,1482,743,5291,80709
56,1449,627,4787,81362
57,1410,557,4304,81954
58,1387,482,3897,82459
59,1367,423,3520,82915
60,1342,378,3169,83336
61,1321,323,2836,83745
62,1304,277,2574,84070
63,1298,240,2315,84372
64,1277,225,2050,84673
65,1265,207,1819,84934
66,1254,182,1624,85165
67,1246,169,1450,85360
68,1238,141,1308,85538
69,1229,129,1152,85715
70,1226,105,1023,85871
71,1219,101,908,85997
72,1215,86,814,86110
73,1209,72,744,86200
74,1207,64,666,86288
75,1205,57,595,86368
76,1200,51,541,86433
77,1197,42,496,86490
78,1197,33,441,86554
79,1193,27,406,86599
80,1191,23,362,86649
81,1191,21,317,86696
82,1189,23,283,86730
83,1187,22,242,86774
84,1186,18,229,86792
85,1184,14,212,86815
86,1181,14,187,86843
87,1181,10,170,86864
88,1180,9,153,86883
89,1180,7,129,86909
90,1179,7,113,86926
91,1178,5,103,86939
92,1178,4,91,86952
93,1177,3,80,86965
94,1176,3,71,86975
95,1176,1,67,86981
96,1176,1,55,86993
97,1176,0,47,87002
98,1176,0,38,87011
99,1176,0,35,87014
100,1176,0,31,87018
101,1176,0,29,87020
102,1176,0,24,87025
103,1176,0,17,87032
104,1176,0,13,87036
105,1175,1,10,87039
106,1175,1,10,87039
107,1175,0,11,87039
108,1175,0,8,87042
109,1175,0,8,87042
110,1175,0,7,87043
111,1175,0,7,87043
112,1175,0,7,87043
113,1175,0,7,87043
114,1175,0,7,87043
115,1175,0,7,87043
116,1175,0,7,87043
117,1175,0,5,87045
118,1175,0,5,87045
119,1175,0,4,87046
