Step,Susceptible,Exposed,Infected,Recovered
0,88170,50,3,2
1,88136,74,13,2
2,87959,243,21,2
3,87789,366,65,5
4,87589,505,121,10
5,87435,573,188,29
6,87074,835,264,52
7,86387,1359,391,88
8,84966,2541,580,138
9,82677,4383,969,196
10,79390,6902,1630,303
11,75388,9654,2710,473
12,70972,12269,4227,757
13,66915,14135,5933,1242
14,62941,15515,7855,1914
15,58685,16966,9772,2802
16,53832,18815,11638,3940
17,48504,20805,13742,5174
18,42731,22757,16090,6647
19,36637,24722,18411,8455
20,30667,26286,20786,10486
21,24905,27313,23198,12809
22,19998,27225,25710,15292
23,15598,26721,27852,18054
24,11998,25645,29519,21063
25,9215,23796,31046,24168
26,6942,21753,31887,27643
27,5361,19400,32375,31089
28,4078,17114,32327,34706
29,3171,14843,31936,38275
30,2460,12929,31050,41786
31,1944,11085,30049,45147
32,1593,9450,28746,48436
33,1314,7987,27391,51533
34,1092,6795,25834,54504
35,913,5780,24225,57307
36,777,4889,22595,59964
37,666,4115,20908,62536
38,579,3438,19318,64890
39,504,2878,17816,67027
40,447,2438,16363,68977
41,408,2039,14997,70781
42,375,1720,13738,72392
43,351,1428,12593,73853
44,322,1208,11411,75284
45,297,1016,10398,76514
46,280,849,9442,77654
47,268,701,8554,78702
48,257,574,7721,79673
49,237,499,6950,80539
50,231,394,6306,81294
51,226,339,5686,81974
52,222,279,5114,82610
53,215,231,4595,83184
54,209,195,4109,83712
55,203,159,3703,84160
56,199,132,3338,84556
57,193,111,2972,84949
58,192,92,2665,85276
59,190,77,2404,85554
60,189,68,2149,85819
61,186,64,1890,86085
62,184,60,1696,86285
63,182,48,1516,86479
64,179,40,1368,86638
65,178,33,1224,86790
66,177,31,1109,86908
67,177,26,1011,87011
68,175,23,903,87124
69,175,18,824,87208
70,174,15,732,87304
71,173,12,648,87392
72,173,12,577,87463
73,173,10,522,87520
74,172,10,465,87578
75,172,7,423,87623
76,171,8,361,87685
77,170,7,329,87719
78,170,5,283,87767
79,170,4,249,87802
80,170,4,221,87830
81,170,3,197,87855
82,170,3,172,87880
83,170,3,153,87899
84,169,4,139,87913
85,169,4,131,87921
86,169,4,124,87928
87,168,4,115,87938
88,168,4,99,87954
89,168,2,91,87964
90,168,1,87,87969
91,168,1,79,87977
92,168,0,71,87986
93,167,1,58,87999
94,167,1,52,88005
95,167,1,46,88011
96,167,1,40,88017
97,167,1,35,88022
98,167,0,31,88027
99,167,0,27,88031
100,167,0,22,88036
101,167,0,21,88037
102,167,0,21,88037
103,167,0,20,88038
104,167,0,17,88041
105,167,0,16,88042
106,167,0,16,88042
107,167,0,15,88043
108,167,0,12,88046
109,167,0,9,88049
110,167,0,9,88049
111,167,0,9,88049
112,167,0,8,88050
113,167,0,7,88051
114,167,0,7,88051
115,167,0,6,88052
116,167,0,5,88053
117,167,0,5,88053
118,167,0,5,88053
119,167,0,4,88054
