Step,Susceptible,Exposed,Infected,Recovered
0,88176,44,5,0
1,88120,93,12,0
2,87980,216,27,2
3,87762,389,70,4
4,87548,541,123,13
5,87305,689,210,21
6,86908,978,296,43
7,86351,1388,421,65
8,85438,2098,595,94
9,83757,3421,908,139
10,81446,5164,1404,211
11,78317,7442,2127,339
12,74241,10355,3116,513
13,70231,12705,4527,762
14,66060,14853,6211,1101
15,62305,16295,8010,1615
16,58383,17623,9930,2289
17,53893,19310,11958,3064
18,48906,21182,14106,4031
19,43647,22907,16520,5151
20,37976,24923,18810,6516
21,32302,26557,21374,7992
22,26963,27623,23921,9718
23,22024,28124,26508,11569
24,17584,28068,28825,13748
25,13860,27382,30943,16040
26,10889,25959,32903,18474
27,8485,24193,34384,21163
28,6528,22254,35422,24021
29,5093,20060,36294,26778
30,3925,17976,36615,29709
31,3021,16014,36646,32544
32,2340,14124,36252,35509
33,1804,12417,35435,38569
34,1449,10755,34675,41346
35,1165,9373,33573,44114
36,920,8080,32415,46810
37,744,6989,31092,49400
38,604,6052,29703,51866
39,478,5175,28339,54233
40,415,4424,26955,56431
41,364,3772,25549,58540
42,323,3179,24181,60542
43,286,2689,22800,62450
44,254,2296,21492,64183
45,221,1948,20163,65893
46,200,1660,18922,67443
47,178,1402,17687,68958
48,159,1209,16493,70364
49,151,995,15413,71666
50,146,839,14398,72842
51,130,738,13369,73988
52,117,644,12391,75073
53,108,546,11522,76049
54,100,468,10758,76899
55,94,394,9952,77785
56,87,342,9208,78588
57,85,291,8522,79327
58,82,240,7888,80015
59,78,201,7338,80608
60,75,168,6777,81205
61,72,147,6257,81749
62,68,128,5790,82239
63,65,105,5337,82718
64,61,89,4935,83140
65,61,73,4552,83539
66,60,63,4193,83909
67,59,54,3891,84221
68,58,43,3563,84561
69,57,37,3281,84850
70,55,34,3040,85096
71,55,27,2817,85326
72,55,20,2603,85547
73,54,19,2415,85737
74,52,16,2236,85921
75,52,13,2065,86095
76,51,11,1898,86265
77,51,10,1746,86418
78,50,10,1608,86557
79,50,8,1482,86685
80,49,7,1370,86799
81,49,7,1266,86903
82,49,6,1171,86999
83,48,7,1073,87097
84,47,7,983,87188
85,46,7,913,87259
86,45,5,839,87336
87,45,5,776,87399
88,45,3,719,87458
89,45,3,643,87534
90,45,3,585,87592
91,45,3,534,87643
92,45,1,492,87687
93,45,1,452,87727
94,45,1,417,87762
95,45,1,380,87799
96,45,1,341,87838
97,45,1,306,87873
98,45,0,283,87897
99,45,0,255,87925
100,45,0,238,87942
101,45,0,210,87970
102,45,0,193,87987
103,45,0,175,88005
104,45,0,162,88018
105,45,0,148,88032
106,45,0,139,88041
107,45,0,128,88052
108,45,0,117,88063
109,45,0,105,88075
110,45,0,93,88087
111,45,0,86,88094
112,45,0,73,88107
113,45,0,67,88113
114,45,0,60,88120
115,45,0,56,88124
116,45,0,51,88129
117,45,0,47,88133
118,45,0,42,88138
119,45,0,37,88143
