Step,Susceptible,Exposed,Infected,Recovered
0,88186,34,5,0
1,88144,67,14,0
2,88017,178,30,0
3,87808,344,70,3
4,87626,453,140,6
5,87485,493,234,13
6,87147,710,335,33
7,86654,1039,464,68
8,85485,1971,664,105
9,83453,3583,1013,176
10,80391,5846,1735,253
11,76218,8693,2897,417
12,71828,11167,4535,695
13,67837,12688,6595,1105
14,64153,13524,8863,1685
15,60244,14383,11093,2505
16,55783,15640,13319,3483
17,50656,17390,15497,4682
18,45165,19049,17890,6121
19,39387,20594,20504,7740
20,33586,21826,23229,9584
21,28074,22426,26013,11712
22,22942,22593,28667,14023
23,18310,22322,30968,16625
24,14532,21267,33035,19391
25,11335,19917,34549,22424
26,8913,18111,35673,25528
27,6925,16064,36443,28793
28,5438,13994,36740,32053
29,4322,12026,36528,35349
30,3427,10280,35835,38683
31,2745,8707,34801,41972
32,2274,7305,33457,45189
33,1885,6128,31969,48243
34,1553,5130,30405,51137
35,1317,4270,28718,53920
36,1112,3532,26998,56583
37,960,2915,25406,58944
38,823,2448,23703,61251
39,725,1986,22058,63456
40,633,1626,20526,65440
41,574,1310,19103,67238
42,529,1073,17653,68970
43,493,867,16272,70593
44,464,726,15011,72024
45,432,596,13840,73357
46,406,484,12723,74612
47,393,390,11715,75727
48,372,321,10786,76746
49,352,259,9874,77740
50,338,217,9007,78663
51,316,181,8227,79501
52,307,137,7559,80222
53,297,120,6919,80889
54,285,104,6308,81528
55,275,88,5767,82095
56,264,77,5252,82632
57,253,77,4791,83104
58,245,71,4397,83512
59,239,65,3966,83955
60,235,56,3619,84315
61,231,49,3315,84630
62,226,44,3034,84921
63,224,40,2765,85196
64,222,36,2516,85451
65,219,32,2294,85680
66,216,24,2094,85891
67,213,23,1913,86076
68,209,22,1767,86227
69,207,22,1614,86382
70,205,19,1471,86530
71,205,16,1344,86660
72,204,11,1240,86770
73,204,10,1118,86893
74,201,11,1019,86994
75,200,8,935,87082
76,200,7,862,87156
77,200,7,786,87232
78,200,5,719,87301
79,200,4,642,87379
80,200,4,584,87437
81,200,3,535,87487
82,200,3,501,87521
83,200,2,453,87570
84,200,2,401,87622
85,200,1,369,87655
86,200,1,327,87697
87,200,1,300,87724
88,200,1,278,87746
89,200,1,249,87775
90,200,1,232,87792
91,200,1,209,87815
92,200,1,188,87836
93,200,1,173,87851
94,200,1,161,87863
95,200,1,149,87875
96,199,2,142,87882
97,199,2,127,87897
98,199,1,113,87912
99,199,1,106,87919
100,199,1,96,87929
101,198,2,91,87934
102,198,1,84,87942
103,198,1,78,87948
104,198,1,70,87956
105,198,1,64,87962
106,198,1,57,87969
107,198,1,49,87977
108,198,1,46,87980
109,198,1,43,87983
110,198,0,42,87985
111,198,0,38,87989
112,197,1,37,87990
113,197,1,35,87992
114,197,1,31,87996
115,197,1,29,87998
116,197,1,28,87999
117,197,1,26,88001
118,197,1,22,88005
119,197,0,19,88009
