Step,Susceptible,Exposed,Infected,Recovered
0,88164,56,5,0
1,88116,91,17,1
2,87933,256,33,3
3,87704,440,74,7
4,87483,590,132,20
5,87251,708,230,36
6,86884,929,354,58
7,86164,1470,498,93
8,84767,2600,719,139
9,82522,4414,1068,221
10,79415,6760,1691,359
11,75332,9614,2735,544
12,71156,12077,4140,852
13,67476,13574,5852,1323
14,63779,14817,7680,1949
15,59878,15989,9582,2776
16,55482,17495,11462,3786
17,50477,19309,13361,5078
18,45178,21119,15371,6557
19,39706,22796,17457,8266
20,34213,24097,19736,10179
21,28720,25300,21930,12275
22,23646,25779,24114,14686
23,19172,25644,26092,17317
24,15345,24832,27834,20214
25,12230,23439,29249,23307
26,9769,21616,30286,26554
27,7726,19781,30762,29956
28,6193,17672,31023,33337
29,4903,15783,30756,36783
30,3957,13846,30328,40094
31,3217,12061,29498,43449
32,2649,10501,28400,46675
33,2213,9135,27125,49752
34,1859,7845,25806,52715
35,1552,6789,24331,55553
36,1343,5715,22916,58251
37,1171,4844,21441,60769
38,1008,4168,19954,63095
39,895,3566,18426,65338
40,788,2964,17140,67333
41,705,2497,15848,69175
42,630,2088,14568,70939
43,574,1775,13373,72503
44,533,1509,12183,74000
45,498,1266,11138,75323
46,463,1060,10136,76566
47,438,900,9233,77654
48,415,772,8336,78702
49,395,652,7558,79620
50,380,556,6837,80452
51,355,498,6154,81218
52,345,423,5612,81845
53,332,354,5087,82452
54,322,299,4650,82954
55,315,257,4177,83476
56,307,211,3772,83935
57,305,179,3388,84353
58,297,148,3072,84708
59,291,128,2776,85030
60,286,115,2466,85358
61,283,103,2207,85632
62,282,78,1976,85889
63,279,60,1776,86110
64,277,52,1569,86327
65,271,50,1401,86503
66,269,44,1275,86637
67,266,40,1116,86803
68,260,40,1004,86921
69,258,33,913,87021
70,258,27,817,87123
71,257,22,729,87217
72,256,19,650,87300
73,255,19,581,87370
74,252,18,512,87443
75,252,13,457,87503
76,252,11,423,87539
77,252,6,381,87586
78,252,5,350,87618
79,250,7,297,87671
80,250,3,267,87705
81,250,1,249,87725
82,250,1,234,87740
83,250,1,208,87766
84,250,1,184,87790
85,250,1,161,87813
86,250,1,140,87834
87,250,1,127,87847
88,250,1,106,87868
89,250,1,95,87879
90,250,1,87,87887
91,250,1,79,87895
92,250,0,71,87904
93,250,0,62,87913
94,250,0,57,87918
95,250,0,52,87923
96,250,0,44,87931
97,250,0,40,87935
98,250,0,34,87941
99,250,0,32,87943
100,250,0,28,87947
101,250,0,25,87950
102,250,0,22,87953
103,250,0,18,87957
104,250,0,16,87959
105,250,0,13,87962
106,250,0,11,87964
107,250,0,10,87965
108,250,0,8,87967
109,250,0,7,87968
110,250,0,7,87968
111,250,0,6,87969
112,250,0,5,87970
113,250,0,4,87971
114,250,0,4,87971
115,250,0,4,87971
116,250,0,4,87971
117,250,0,3,87972
118,250,0,2,87973
119,250,0,2,87973
