Step,Susceptible,Exposed,Infected,Recovered
0,88175,45,4,1
1,88142,66,13,4
2,87991,206,20,8
3,87819,338,58,10
4,87522,561,128,14
5,87199,767,231,28
6,86767,1020,387,51
7,86183,1378,571,93
8,85212,2058,797,158
9,83614,3172,1186,253
10,80491,5608,1731,395
11,76493,8384,2757,591
12,72140,10832,4384,869
13,67832,12735,6319,1339
14,64100,13666,8382,2077
15,60316,14439,10483,2987
16,55953,15594,12512,4166
17,51053,16929,14728,5515
18,45642,18703,16686,7194
19,40143,20070,19000,9012
20,34529,21160,21379,11157
21,29166,21933,23598,13528
22,24324,21942,25842,16117
23,19907,21488,27856,18974
24,15998,20582,29551,22094
25,12806,19220,30796,25403
26,10222,17615,31541,28847
27,8202,15674,32058,32291
28,6557,13851,32081,35736
29,5295,12104,31612,39214
30,4330,10421,30861,42613
31,3596,8775,29866,45988
32,3008,7414,28510,49293
33,2518,6313,26941,52453
34,2150,5332,25350,55393
35,1862,4464,23682,58217
36,1642,3680,22056,60847
37,1461,3051,20462,63251
38,1303,2508,18962,65452
39,1176,2060,17439,67550
40,1055,1738,15927,69505
41,974,1432,14516,71303
42,901,1195,13174,72955
43,844,976,12036,74369
44,790,814,10971,75650
45,749,671,9971,76834
46,713,553,9076,77883
47,677,475,8226,78847
48,647,400,7402,79776
49,622,340,6695,80568
50,611,272,6085,81257
51,595,222,5535,81873
52,574,192,4975,82484
53,564,159,4518,82984
54,552,139,4014,83520
55,535,127,3583,83980
56,530,99,3209,84387
57,523,82,2897,84723
58,515,74,2610,85026
59,506,62,2351,85306
60,504,51,2091,85579
61,499,46,1865,85815
62,495,44,1685,86001
63,491,33,1515,86186
64,487,27,1386,86325
65,486,23,1234,86482
66,483,24,1097,86621
67,479,25,974,86747
68,479,19,860,86867
69,475,17,778,86955
70,473,14,712,87026
71,471,13,636,87105
72,469,13,565,87178
73,468,12,498,87247
74,467,8,452,87298
75,467,5,414,87339
76,465,7,373,87380
77,465,2,341,87417
78,464,1,307,87453
79,463,2,277,87483
80,462,3,252,87508
81,461,3,225,87536
82,459,5,192,87569
83,458,5,173,87589
84,456,5,156,87608
85,456,3,135,87631
86,456,2,118,87649
87,456,2,105,87662
88,456,1,97,87671
89,456,1,81,87687
90,456,1,71,87697
91,456,1,62,87706
92,455,2,53,87715
93,455,1,48,87721
94,455,1,42,87727
95,455,0,35,87735
96,455,0,32,87738
97,455,0,24,87746
98,455,0,18,87752
99,455,0,15,87755
100,455,0,13,87757
101,455,0,11,87759
102,455,0,9,87761
103,455,0,6,87764
104,455,0,6,87764
105,455,0,4,87766
106,455,0,4,87766
107,455,0,2,87768
108,455,0,2,87768
109,455,0,1,87769
110,455,0,1,87769
111,455,0,1,87769
112,455,0,1,87769
113,455,0,1,87769
114,455,0,1,87769
115,455,0,1,87769
116,455,0,0,87770
117,455,0,0,87770
118,455,0,0,87770
119,455,0,0,87770
