Step,Susceptible,Exposed,Infected,Recovered
0,88166,54,4,1
1,88120,87,17,1
2,87917,272,33,3
3,87747,394,78,6
4,87597,488,129,11
5,87411,611,183,20
6,87065,844,281,35
7,86258,1519,388,60
8,84705,2821,609,90
9,82295,4777,1013,140
10,79140,7173,1687,225
11,75334,9835,2655,401
12,71282,12300,3994,649
13,67165,14442,5614,1004
14,63044,16171,7504,1506
15,58746,17842,9466,2171
16,53979,19723,11488,3035
17,48629,21899,13614,4083
18,42773,24200,15950,5302
19,36724,26291,18376,6834
20,30782,27990,20952,8501
21,25141,29081,23638,10365
22,20058,29554,26054,12559
23,15694,29244,28338,14949
24,12041,28214,30436,17534
25,9109,26540,32218,20358
26,6892,24480,33663,23190
27,5118,22461,34456,26190
28,3916,20035,35034,29240
29,2997,17753,35150,32325
30,2299,15614,34747,35565
31,1790,13663,34026,38746
32,1419,11793,33256,41757
33,1107,10158,32290,44670
34,859,8777,31024,47565
35,677,7521,29722,50305
36,549,6426,28198,53052
37,450,5489,26683,55603
38,372,4728,25114,58011
39,304,4052,23607,60262
40,255,3450,22094,62426
41,223,2967,20610,64425
42,196,2493,19276,66260
43,172,2110,17949,67994
44,146,1806,16655,69618
45,133,1532,15400,71160
46,120,1295,14274,72536
47,110,1101,13206,73808
48,104,917,12236,74968
49,94,766,11321,76044
50,85,649,10459,77032
51,85,527,9644,77969
52,78,458,8892,78797
53,72,392,8158,79603
54,68,338,7426,80393
55,67,294,6791,81073
56,63,252,6252,81658
57,61,214,5733,82217
58,57,180,5271,82717
59,55,155,4842,83173
60,53,128,4461,83583
61,51,114,4086,83974
62,49,96,3745,84335
63,48,82,3439,84656
64,48,72,3145,84960
65,48,58,2874,85245
66,47,51,2602,85525
67,45,48,2387,85745
68,45,40,2190,85950
69,43,37,2019,86126
70,43,34,1854,86294
71,43,27,1687,86468
72,41,23,1558,86603
73,41,20,1425,86739
74,40,17,1307,86861
75,40,14,1186,86985
76,39,13,1098,87075
77,37,15,996,87177
78,37,13,910,87265
79,37,13,831,87344
80,37,12,750,87426
81,37,7,704,87477
82,37,5,643,87540
83,37,4,563,87621
84,37,4,517,87667
85,35,5,476,87709
86,35,4,441,87745
87,35,4,398,87788
88,35,3,367,87820
89,35,2,335,87853
90,35,0,301,87889
91,35,0,280,87910
92,35,0,252,87938
93,35,0,228,87962
94,35,0,214,87976
95,35,0,193,87997
96,35,0,181,88009
97,35,0,166,88024
98,35,0,146,88044
99,35,0,133,88057
100,35,0,120,88070
101,35,0,106,88084
102,35,0,101,88089
103,35,0,91,88099
104,35,0,85,88105
105,35,0,74,88116
106,35,0,64,88126
107,35,0,58,88132
108,35,0,56,88134
109,35,0,52,88138
110,35,0,44,88146
111,35,0,37,88153
112,35,0,34,88156
113,35,0,31,88159
114,35,0,29,88161
115,35,0,28,88162
116,35,0,27,88163
117,35,0,23,88167
118,35,0,20,88170
119,35,0,19,88171
