Step,Susceptible,Exposed,Infected,Recovered
0,88179,41,5,0
1,88140,70,14,1
2,88004,197,22,2
3,87863,298,61,3
4,87654,458,105,8
5,87518,524,161,22
6,87349,595,237,44
7,86977,859,326,63
8,86257,1437,436,95
9,85192,2243,641,149
10,83403,3636,978,208
11,80684,5725,1509,307
12,77045,8319,2388,473
13,72738,11085,3678,724
14,68987,12929,5196,1113
15,65706,13874,7001,1644
16,62279,14755,8874,2317
17,58486,15934,10623,3182
18,54306,17305,12407,4207
19,49592,18970,14187,5476
20,44601,20566,16178,6880
21,39425,22040,18235,8525
22,34245,23151,20553,10276
23,29183,24096,22688,12258
24,24494,24425,24854,14452
25,20147,24309,26757,17012
26,16471,23612,28420,19722
27,13365,22429,29893,22538
28,10746,21008,30910,25561
29,8707,19188,31578,28752
30,7069,17283,31977,31896
31,5741,15554,31753,35177
32,4652,13840,31413,38320
33,3831,12190,30662,41542
34,3178,10654,29815,44578
35,2672,9247,28798,47508
36,2270,7949,27617,50389
37,1937,6878,26292,53118
38,1651,5922,24893,55759
39,1424,5073,23455,58273
40,1239,4315,22020,60651
41,1103,3688,20532,62902
42,986,3149,19199,64891
43,893,2676,17853,66803
44,823,2265,16569,68568
45,747,1966,15248,70264
46,678,1710,14011,71826
47,636,1450,12915,73224
48,587,1246,11873,74519
49,546,1071,10919,75689
50,526,912,9988,76799
51,496,791,9141,77797
52,473,667,8336,78749
53,448,572,7627,79578
54,432,487,6965,80341
55,413,429,6379,81004
56,399,377,5808,81641
57,386,327,5324,82188
58,374,274,4862,82715
59,364,225,4449,83187
60,361,185,4065,83614
61,355,155,3696,84019
62,350,131,3382,84362
63,344,107,3076,84698
64,339,89,2803,84994
65,338,77,2553,85257
66,335,61,2341,85488
67,327,54,2136,85708
68,321,50,1944,85910
69,319,44,1763,86099
70,317,38,1582,86288
71,314,36,1445,86430
72,311,36,1307,86571
73,308,34,1185,86698
74,308,31,1084,86802
75,305,29,990,86901
76,305,24,898,86998
77,302,25,819,87079
78,301,25,741,87158
79,300,22,675,87228
80,300,20,601,87304
81,297,20,530,87378
82,296,16,477,87436
83,296,15,430,87484
84,295,14,375,87541
85,294,13,341,87577
86,294,10,312,87609
87,293,6,279,87647
88,293,4,251,87677
89,293,4,231,87697
90,293,3,211,87718
91,293,2,191,87739
92,293,2,168,87762
93,293,1,147,87784
94,293,0,137,87795
95,292,1,125,87807
96,292,1,112,87820
97,292,1,101,87831
98,290,3,96,87836
99,289,4,86,87846
100,289,4,73,87859
101,289,4,68,87864
102,289,3,61,87872
103,289,2,57,87877
104,289,2,49,87885
105,289,2,45,87889
106,289,2,41,87893
107,289,1,37,87898
108,289,1,31,87904
109,289,1,26,87909
110,289,1,23,87912
111,289,1,22,87913
112,289,1,21,87914
113,289,1,20,87915
114,289,1,19,87916
115,289,1,19,87916
116,289,0,18,87918
117,289,0,16,87920
118,289,0,13,87923
119,289,0,12,87924
